AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1683039360.258922
4332.692,4346.538,4283.205,4306.795,4346.154,4307.821,4290.385,4340.385,4319.744,4276.538,4287.949,4448.077,4240.897,4290.0,1683039360.2832184
4339.744,4346.923,4284.872,4322.308,4338.718,4308.333,4291.795,4341.923,4318.846,4271.41,4296.026,4449.359,4249.487,4292.308,1683039360.2837145
4342.436,4355.385,4288.462,4330.897,4341.41,4310.513,4292.692,4345.385,4319.487,4273.333,4288.205,4456.923,4242.436,4292.949,1683039360.2837145
4340.897,4358.462,4289.231,4326.667,4341.538,4306.538,4290.897,4340.769,4313.974,4267.821,4290.641,4454.487,4230.513,4288.077,1683039360.2837145
4345.897,4361.41,4289.615,4325.256,4339.359,4304.872,4292.564,4342.692,4313.59,4269.615,4290.256,4454.744,4239.231,4289.872,1683039360.3268623
4348.077,4370.0,4289.872,4332.949,4345.256,4311.41,4296.538,4349.744,4318.333,4280.385,4278.974,4460.128,4245.513,4295.256,1683039360.3268623
4345.0,4369.615,4291.282,4336.154,4354.487,4314.103,4297.179,4350.641,4320.128,4280.641,4285.256,4461.538,4245.769,4298.462,1683039360.3274841
4345.897,4355.897,4290.256,4327.436,4356.923,4310.385,4296.026,4348.205,4318.846,4275.897,4298.718,4456.282,4254.615,4295.513,1683039360.3278542
4342.179,4355.641,4288.718,4324.615,4353.974,4311.923,4297.821,4348.846,4322.564,4279.231,4299.487,4453.205,4258.718,4288.846,1683039360.3281214
4329.744,4368.974,4284.231,4327.949,4351.282,4315.897,4297.564,4349.231,4326.282,4279.872,4289.615,4449.359,4251.538,4283.846,1683039360.3281214
4330.769,4363.333,4282.564,4322.308,4342.949,4311.923,4294.103,4344.487,4318.333,4274.103,4283.462,4447.821,4247.179,4288.333,1683039360.3283503
4344.103,4351.795,4287.564,4328.205,4334.872,4307.308,4293.718,4339.487,4311.026,4272.949,4289.744,4454.103,4249.615,4293.59,1683039360.328847
4341.795,4357.949,4290.385,4338.846,4341.795,4310.128,4294.744,4341.282,4315.897,4276.026,4289.103,4455.385,4247.821,4289.872,1683039360.378989
4326.154,4360.256,4280.0,4318.974,4351.154,4310.769,4294.744,4344.744,4322.436,4278.205,4269.359,4441.154,4241.923,4284.872,1683039360.378989
4322.949,4351.026,4274.487,4299.487,4346.282,4308.846,4295.769,4341.923,4321.538,4278.077,4262.692,4434.487,4236.795,4288.846,1683039360.3794863
4333.333,4353.59,4281.923,4319.231,4340.897,4315.897,4297.821,4341.923,4322.179,4278.718,4286.026,4443.718,4243.974,4295.897,1683039360.3795853
4335.641,4366.154,4285.128,4332.821,4344.231,4319.487,4297.564,4350.256,4325.128,4281.154,4292.949,4446.154,4255.513,4290.897,1683039360.4025872
4329.359,4360.769,4279.103,4316.154,4341.282,4314.231,4298.846,4352.692,4321.282,4280.0,4285.385,4439.744,4251.538,4282.564,1683039360.4025872
4323.59,4341.282,4273.846,4308.077,4333.205,4310.641,4295.385,4341.538,4311.154,4269.103,4284.615,4435.0,4240.897,4281.154,1683039360.4030836
4323.846,4340.513,4273.718,4321.282,4331.154,4310.128,4293.59,4339.359,4311.667,4266.154,4278.846,4434.744,4240.513,4284.744,1683039360.4032943
4331.795,4357.564,4277.051,4333.718,4331.923,4316.538,4302.949,4355.513,4326.026,4283.974,4274.615,4440.897,4249.359,4289.103,1683039360.4359
4336.282,4362.179,4278.846,4332.051,4339.231,4326.154,4307.949,4360.769,4330.897,4293.59,4270.897,4444.359,4249.872,4288.59,1683039360.4364574
4331.667,4357.564,4276.41,4320.0,4353.974,4328.205,4305.385,4351.667,4323.077,4284.487,4272.051,4441.282,4245.128,4284.615,1683039360.4364574
4333.077,4366.538,4279.487,4319.615,4356.923,4326.41,4308.846,4352.179,4324.872,4285.385,4293.462,4445.641,4254.231,4288.077,1683039360.4369538
4340.385,4374.744,4284.231,4334.231,4345.641,4327.179,4311.923,4357.051,4327.564,4294.872,4311.41,4448.718,4268.59,4293.333,1683039360.461667
4336.538,4361.795,4284.231,4335.641,4340.769,4326.154,4307.949,4352.179,4316.923,4287.051,4296.923,4440.128,4263.846,4288.333,1683039360.4623494
4329.615,4355.0,4282.179,4320.513,4344.872,4325.256,4307.692,4349.872,4309.231,4275.0,4271.41,4431.282,4248.077,4281.795,1683039360.4623494
4331.667,4364.487,4282.436,4325.769,4344.615,4327.949,4309.744,4355.641,4314.231,4277.949,4273.846,4433.974,4251.154,4283.59,1683039360.4628453
4333.718,4361.667,4283.846,4343.718,4339.744,4327.179,4308.974,4358.462,4322.564,4286.667,4291.923,4442.436,4264.872,4286.282,1683039360.5053947
4334.744,4355.641,4287.949,4338.333,4340.897,4325.256,4310.641,4358.333,4324.872,4292.051,4285.641,4448.333,4268.333,4287.821,1683039360.5053947
4332.051,4366.282,4282.949,4321.923,4350.769,4329.359,4309.231,4355.0,4319.359,4289.744,4276.923,4443.205,4260.0,4288.462,1683039360.5058913
4325.513,4368.718,4276.154,4319.744,4353.462,4335.641,4306.923,4351.923,4315.128,4281.41,4299.615,4436.026,4254.359,4287.692,1683039360.5058913
4322.821,4346.026,4276.538,4320.769,4344.231,4338.974,4309.359,4353.846,4318.205,4276.026,4301.667,4433.077,4253.59,4281.923,1683039360.5063882
4323.59,4343.333,4276.282,4319.359,4345.385,4342.051,4315.641,4358.718,4322.821,4279.231,4268.974,4430.769,4247.692,4275.128,1683039360.5063882
4323.077,4358.462,4273.462,4324.359,4353.974,4342.564,4319.487,4360.0,4324.744,4286.41,4273.333,4432.564,4249.359,4274.103,1683039360.5063882
4323.974,4347.949,4280.128,4329.872,4347.051,4339.231,4319.744,4360.0,4330.0,4295.513,4294.744,4437.692,4262.692,4280.897,1683039360.5068846
4327.949,4343.59,4288.077,4329.359,4337.564,4340.0,4317.564,4363.846,4334.231,4301.154,4275.769,4440.641,4268.718,4289.872,1683039360.5670602
4330.641,4363.59,4286.667,4325.769,4345.513,4343.59,4314.103,4363.974,4332.564,4300.641,4277.564,4443.462,4263.59,4290.256,1683039360.5670602
4330.128,4367.308,4285.0,4320.0,4355.641,4342.564,4313.59,4359.103,4324.487,4294.359,4314.744,4448.077,4264.487,4288.462,1683039360.5670602
4329.359,4350.897,4280.897,4320.513,4348.077,4340.641,4312.179,4355.0,4312.949,4284.359,4309.231,4442.308,4262.436,4286.154,1683039360.5677445
4331.154,4355.128,4279.487,4322.949,4339.103,4339.103,4311.41,4353.205,4311.795,4281.795,4277.821,4433.974,4254.744,4284.872,1683039360.588878
4338.718,4367.821,4284.103,4323.462,4348.333,4342.821,4319.359,4358.59,4327.821,4294.359,4286.282,4443.846,4267.308,4292.949,1683039360.5894282
4348.077,4364.744,4293.59,4337.436,4360.641,4351.795,4329.487,4368.462,4341.41,4309.615,4305.385,4461.667,4283.846,4306.667,1683039360.589924
4350.641,4368.974,4297.179,4353.077,4358.077,4354.744,4329.872,4371.667,4337.051,4311.667,4290.769,4460.385,4281.667,4306.795,1683039360.589924
4347.692,4381.923,4293.333,4348.846,4355.641,4355.769,4326.923,4368.718,4329.615,4303.333,4290.256,4450.513,4272.308,4297.564,1683039360.619156
4345.641,4389.487,4291.795,4341.026,4360.256,4360.385,4327.564,4366.538,4328.462,4297.179,4317.179,4451.667,4271.282,4296.795,1683039360.619156
4345.513,4381.923,4294.744,4345.256,4359.103,4359.487,4326.667,4361.41,4327.051,4295.513,4314.615,4456.026,4278.974,4300.256,1683039360.619156
4342.051,4370.385,4291.41,4341.667,4361.667,4355.385,4325.128,4358.205,4326.154,4296.026,4290.513,4451.41,4281.795,4296.667,1683039360.619156
4338.333,4376.923,4287.051,4334.615,4370.513,4357.308,4327.308,4359.744,4325.513,4293.718,4286.282,4444.615,4272.692,4290.641,1683039360.6492748
4342.436,4380.385,4291.154,4340.513,4367.564,4361.795,4326.538,4357.051,4323.59,4294.615,4294.615,4446.282,4273.205,4292.179,1683039360.6492748
4348.077,4365.769,4293.462,4350.128,4356.154,4355.256,4318.077,4351.41,4318.59,4293.846,4291.282,4447.949,4282.308,4295.128,1683039360.6502733
4339.872,4358.077,4285.769,4343.846,4350.513,4345.0,4310.385,4349.231,4313.59,4285.641,4279.744,4440.897,4269.487,4291.41,1683039360.6502733
4324.872,4367.692,4278.974,4324.359,4348.846,4344.744,4310.641,4345.385,4310.513,4277.949,4277.179,4428.205,4252.692,4283.462,1683039360.6801395
4326.026,4376.282,4282.308,4323.59,4352.564,4349.744,4312.436,4342.692,4313.846,4283.462,4285.0,4424.615,4263.205,4281.795,1683039360.6801395
4335.256,4377.949,4287.051,4340.128,4360.0,4350.513,4310.897,4346.026,4318.846,4290.128,4291.026,4431.026,4279.231,4285.128,1683039360.6801395
4332.564,4377.821,4284.359,4340.513,4361.795,4352.692,4311.41,4348.974,4318.462,4286.538,4286.795,4434.615,4278.846,4286.795,1683039360.6813092
4330.641,4370.256,4281.282,4333.718,4358.205,4358.462,4317.564,4351.795,4320.256,4286.667,4284.487,4431.667,4277.436,4287.564,1683039360.7168896
4335.769,4356.667,4286.026,4338.846,4352.949,4355.385,4317.436,4351.795,4319.744,4284.231,4282.308,4430.385,4281.154,4288.59,1683039360.7168896
4333.205,4351.923,4285.0,4338.974,4350.128,4348.077,4311.282,4344.359,4309.872,4271.667,4287.179,4433.205,4276.667,4289.872,1683039360.7168896
4332.436,4366.923,4284.359,4333.974,4356.026,4352.821,4313.333,4343.205,4310.641,4272.436,4301.667,4438.462,4268.462,4296.154,1683039360.7168896
4335.641,4375.897,4285.385,4339.615,4356.41,4361.282,4319.231,4350.256,4321.282,4284.744,4286.282,4434.872,4265.385,4296.538,1683039360.7393394
4329.872,4359.359,4282.821,4341.667,4350.897,4365.256,4320.513,4350.513,4320.513,4280.641,4266.282,4428.59,4261.538,4288.462,1683039360.7393394
4322.692,4351.667,4280.897,4330.256,4360.513,4368.974,4324.359,4349.487,4317.949,4274.231,4281.282,4427.821,4262.051,4282.179,1683039360.7393394
4322.949,4359.103,4282.179,4321.667,4367.821,4366.026,4324.872,4352.051,4318.462,4277.051,4290.641,4423.333,4270.897,4279.103,1683039360.7393394
4325.0,4357.051,4281.282,4331.538,4355.897,4359.231,4319.487,4346.154,4312.949,4270.513,4278.59,4415.256,4272.179,4276.41,1683039360.7834363
4323.205,4353.462,4279.872,4339.744,4349.872,4363.333,4320.0,4341.154,4311.667,4267.821,4272.821,4415.128,4264.744,4280.513,1683039360.7834363
4324.872,4359.103,4282.821,4330.769,4360.385,4366.41,4320.128,4345.128,4317.692,4278.846,4282.821,4422.821,4272.821,4289.615,1683039360.7839353
4329.744,4367.436,4286.026,4329.872,4360.769,4359.487,4312.436,4344.615,4317.308,4284.487,4288.205,4427.564,4285.256,4290.769,1683039360.7839353
4333.974,4367.051,4285.0,4341.667,4345.897,4355.128,4307.564,4339.231,4311.923,4277.436,4274.872,4426.282,4273.205,4287.308,1683039360.7839353
4335.385,4353.077,4283.718,4343.077,4340.0,4355.385,4312.564,4341.026,4313.718,4276.538,4266.923,4423.846,4263.462,4288.974,1683039360.7844317
4337.564,4356.795,4286.282,4336.923,4350.769,4361.41,4321.923,4349.231,4322.051,4286.538,4292.564,4428.974,4285.256,4293.718,1683039360.7844317
4339.231,4376.41,4288.462,4336.026,4363.333,4368.333,4326.923,4354.487,4327.692,4295.641,4316.538,4433.846,4302.692,4291.282,1683039360.7844317
4334.231,4363.59,4287.308,4333.718,4363.205,4363.205,4324.615,4350.385,4322.949,4290.897,4294.103,4428.333,4286.667,4283.846,1683039360.8377903
4334.615,4347.436,4285.641,4336.667,4358.59,4361.282,4321.41,4344.103,4319.359,4280.641,4273.077,4423.846,4272.308,4285.769,1683039360.8377903
4338.846,4367.308,4287.949,4346.41,4357.564,4371.667,4323.59,4346.795,4325.641,4285.0,4287.436,4427.949,4283.462,4293.333,1683039360.8377903
4332.949,4373.718,4286.667,4339.359,4360.256,4372.436,4326.282,4351.667,4325.769,4291.923,4292.308,4426.667,4285.128,4292.308,1683039360.8377903
4329.744,4354.487,4284.359,4326.41,4357.564,4364.744,4326.154,4351.026,4318.846,4292.564,4273.205,4422.308,4270.641,4285.513,1683039360.8667588
4338.077,4362.051,4284.615,4338.205,4348.462,4365.256,4325.513,4351.538,4319.231,4294.103,4278.333,4424.359,4278.59,4285.385,1683039360.8667588
4344.103,4378.718,4288.205,4358.846,4350.897,4370.128,4327.692,4355.256,4328.462,4297.564,4313.718,4431.667,4303.59,4293.718,1683039360.8667588
4335.641,4367.308,4284.872,4347.692,4358.974,4370.641,4328.333,4354.487,4331.154,4295.641,4315.0,4430.0,4305.897,4294.359,1683039360.867982
4324.615,4350.769,4279.744,4321.795,4359.231,4366.795,4325.513,4347.179,4322.051,4291.667,4288.974,4421.154,4287.949,4287.821,1683039360.904574
4324.615,4349.615,4283.077,4320.128,4358.077,4365.385,4324.615,4343.59,4317.051,4292.308,4287.949,4418.846,4280.128,4284.872,1683039360.904574
4327.308,4356.538,4284.103,4328.718,4355.256,4369.744,4326.41,4344.103,4320.513,4289.103,4286.026,4418.077,4281.538,4283.846,1683039360.904574
4324.103,4358.974,4278.846,4326.154,4349.744,4371.026,4326.41,4343.846,4321.41,4285.128,4267.949,4413.846,4275.256,4281.154,1683039360.904574
4323.59,4356.538,4279.103,4322.308,4352.692,4367.436,4326.282,4345.0,4319.872,4288.59,4275.385,4416.667,4274.231,4279.359,1683039360.9344676
4328.974,4358.846,4286.41,4333.974,4350.385,4367.692,4331.026,4352.179,4326.538,4299.487,4304.359,4425.897,4290.769,4282.821,1683039360.9344676
4333.462,4357.436,4288.974,4347.308,4339.359,4371.154,4333.462,4357.436,4331.154,4297.308,4308.333,4424.487,4298.974,4286.026,1683039360.9354641
4335.128,4350.385,4288.462,4340.128,4347.179,4368.59,4328.462,4350.385,4323.462,4282.949,4290.128,4421.923,4283.333,4285.897,1683039360.9354641
4332.179,4351.923,4287.692,4322.179,4360.128,4364.872,4323.718,4342.692,4318.333,4282.564,4277.051,4424.615,4272.436,4285.128,1683039360.9643917
4331.923,4360.513,4290.897,4319.872,4356.154,4369.231,4323.333,4344.487,4321.026,4291.538,4275.128,4427.051,4278.205,4289.872,1683039360.9643917
4342.436,4370.0,4296.41,4337.051,4352.436,4374.359,4325.897,4352.564,4323.974,4293.205,4288.205,4431.538,4283.59,4296.026,1683039360.9643917
