AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
4267.051,4286.538,4235.513,4280.641,4295.513,4295.769,4280.641,4580.641,4430.256,4389.615,4399.487,5486.282,4256.923,4192.564,1683488758.229801
4265.513,4286.795,4235.0,4280.769,4288.462,4295.641,4280.641,4584.615,4429.744,4388.718,4399.487,5488.462,4255.385,4190.128,1683488758.2308002
4264.872,4287.051,4232.051,4280.513,4296.282,4293.59,4280.641,4584.359,4429.487,4397.179,4399.744,5487.564,4254.744,4186.154,1683488758.2691524
4265.128,4285.513,4237.051,4281.154,4296.41,4291.795,4280.641,4581.154,4428.59,4393.333,4398.462,5487.179,4255.256,4193.077,1683488758.2691524
4265.897,4286.538,4233.974,4277.692,4295.256,4292.308,4280.513,4580.897,4432.692,4388.077,4399.744,5487.051,4256.026,4193.205,1683488758.328186
4264.872,4285.641,4235.641,4281.538,4294.744,4292.692,4280.513,4582.692,4428.462,4391.923,4398.205,5485.385,4254.231,4186.923,1683488758.3284552
4265.385,4286.282,4233.333,4280.128,4296.026,4294.359,4280.641,4585.0,4430.128,4390.897,4398.077,5486.667,4254.231,4185.128,1683488758.3284552
4265.256,4284.359,4234.103,4279.103,4296.41,4298.59,4281.538,4580.513,4430.128,4391.538,4399.487,5489.615,4254.487,4189.359,1683488758.328985
4265.0,4287.564,4235.769,4280.128,4296.795,4295.769,4282.564,4581.282,4429.231,4391.795,4400.0,5489.231,4255.897,4189.103,1683488758.328985
4266.026,4290.256,4235.513,4280.128,4297.179,4291.923,4282.564,4582.436,4430.0,4391.538,4399.487,5486.538,4255.128,4188.846,1683488758.328985
4265.128,4286.923,4235.513,4279.487,4296.795,4293.333,4282.436,4574.359,4430.385,4391.538,4399.231,5486.923,4254.103,4191.538,1683488758.3294866
4263.974,4285.385,4235.897,4280.385,4296.282,4295.769,4282.564,4572.949,4429.872,4391.538,4400.0,5490.0,4255.385,4188.718,1683488758.3576353
4266.026,4287.179,4233.974,4278.718,4296.41,4292.692,4282.436,4582.308,4430.641,4391.538,4397.821,5486.538,4254.231,4189.487,1683488758.3576353
4268.077,4288.333,4235.641,4281.667,4297.179,4299.487,4282.436,4582.051,4428.846,4391.538,4396.026,5488.462,4255.0,4184.872,1683488758.3913321
4264.487,4284.744,4235.385,4276.538,4295.513,4294.615,4282.436,4581.026,4433.077,4391.538,4398.462,5488.077,4254.359,4186.923,1683488758.3918447
4265.128,4282.821,4234.103,4281.282,4296.154,4298.59,4282.436,4584.231,4430.513,4391.538,4398.974,5487.436,4256.538,4186.282,1683488758.3923562
4266.154,4289.359,4232.949,4280.513,4297.436,4284.744,4282.436,4583.59,4429.744,4391.538,4399.744,5487.564,4257.051,4191.667,1683488758.3928576
