AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1683035447.9586098
4352.564,4365.256,4306.282,4339.103,4394.872,4415.256,4382.308,4374.359,4363.974,4333.718,4267.949,4463.205,4296.41,4275.769,1683035447.9606025
4362.436,4370.641,4313.462,4342.949,4396.154,4426.282,4390.897,4374.359,4357.179,4339.744,4272.051,4470.385,4300.641,4282.051,1683035447.9606025
4367.564,4376.538,4318.077,4338.077,4387.821,4432.436,4400.641,4387.692,4377.949,4349.231,4285.769,4480.641,4314.615,4285.513,1683035447.9606025
4353.974,4364.231,4307.308,4326.026,4371.923,4417.308,4389.231,4384.359,4386.154,4342.179,4279.872,4471.795,4309.487,4278.59,1683035447.9606025
4351.154,4362.692,4303.846,4333.077,4374.231,4405.128,4385.385,4373.718,4376.538,4340.256,4275.256,4465.641,4303.974,4278.333,1683035447.9924958
4367.436,4383.333,4318.974,4349.103,4392.179,4415.897,4400.0,4387.692,4385.897,4360.128,4295.256,4484.744,4318.59,4291.795,1683035447.9924958
4372.949,4387.051,4326.923,4350.256,4400.513,4422.051,4403.333,4401.41,4391.795,4365.256,4314.744,4495.897,4327.051,4293.718,1683035447.9924958
4361.154,4367.051,4313.077,4339.872,4388.718,4408.462,4386.795,4383.974,4373.718,4344.872,4300.897,4481.026,4311.795,4281.026,1683035447.9924958
4348.077,4355.513,4298.333,4328.077,4376.41,4390.897,4372.179,4361.667,4364.103,4333.718,4262.564,4458.718,4293.077,4274.359,1683035448.0283756
4350.769,4370.897,4307.821,4333.205,4385.128,4404.744,4380.128,4371.923,4374.615,4346.282,4266.795,4463.718,4300.513,4284.615,1683035448.0283756
4358.462,4379.231,4317.949,4344.231,4389.744,4427.692,4388.59,4381.923,4367.692,4340.769,4290.769,4474.487,4307.821,4288.846,1683035448.0283756
4359.359,4376.026,4311.538,4340.0,4388.077,4423.974,4378.974,4367.821,4353.462,4324.231,4278.59,4465.641,4296.41,4281.41,1683035448.0283756
4358.205,4378.333,4310.385,4337.436,4393.462,4415.128,4377.051,4366.667,4368.718,4339.103,4269.872,4460.897,4298.974,4280.769,1683035448.050826
4356.667,4374.103,4314.615,4341.667,4388.333,4411.026,4384.103,4372.692,4374.103,4344.231,4278.59,4461.795,4309.231,4282.436,1683035448.050826
4366.795,4375.769,4321.026,4344.359,4389.231,4411.795,4388.974,4372.564,4365.385,4333.846,4284.487,4468.077,4311.026,4285.128,1683035448.050826
4387.949,4395.769,4335.0,4352.308,4401.154,4427.436,4397.436,4382.308,4378.974,4350.385,4301.154,4484.487,4319.231,4294.103,1683035448.0518215
4385.897,4395.897,4335.128,4357.692,4392.821,4425.128,4397.821,4387.821,4382.949,4358.205,4302.949,4482.821,4321.154,4292.949,1683035448.0886993
4365.128,4375.128,4321.538,4349.487,4385.513,4393.077,4395.256,4384.487,4368.205,4342.308,4281.795,4469.359,4309.359,4282.949,1683035448.0886993
4357.051,4366.795,4316.154,4339.103,4391.41,4387.436,4395.256,4383.846,4370.641,4343.718,4277.051,4469.487,4306.154,4282.179,1683035448.089697
4351.282,4360.897,4306.026,4327.436,4379.744,4407.821,4379.359,4366.795,4364.615,4337.821,4271.667,4458.077,4298.974,4280.897,1683035448.089697
4340.897,4355.513,4296.282,4322.308,4371.41,4413.333,4366.538,4347.821,4345.256,4317.051,4257.949,4440.769,4285.513,4274.872,1683035448.1195943
4350.256,4362.308,4310.128,4335.128,4386.154,4417.179,4382.179,4367.564,4366.41,4334.744,4274.231,4457.308,4296.923,4281.795,1683035448.1195943
4358.077,4360.0,4314.359,4337.179,4386.667,4414.103,4387.949,4381.538,4388.718,4351.667,4291.667,4469.744,4310.769,4287.564,1683035448.1195943
4342.308,4349.231,4295.641,4323.077,4378.077,4398.205,4372.949,4359.231,4358.462,4324.872,4271.538,4453.59,4294.359,4283.333,1683035448.1195943
