AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1682463669.441151
4275.897,4297.821,4233.59,4280.641,4299.744,4312.692,4306.026,4616.026,4436.538,4391.41,4396.41,5481.41,4254.359,4196.026,1682463669.4561508
4276.282,4296.282,4233.718,4281.282,4300.641,4311.026,4308.59,4615.385,4435.128,4390.641,4399.103,5480.641,4252.949,4196.538,1682463669.4561508
4273.462,4298.205,4234.103,4281.026,4301.538,4312.692,4306.538,4614.872,4436.923,4390.897,4400.513,5480.897,4257.179,4195.897,1682463669.4561508
4271.923,4300.0,4233.205,4280.256,4301.667,4312.692,4302.436,4615.641,4437.821,4388.462,4396.282,5481.282,4260.513,4194.872,1682463669.4561508
4275.128,4298.974,4232.949,4279.872,4301.667,4312.564,4303.846,4617.692,4436.923,4389.487,4394.744,5481.026,4258.974,4197.051,1682463669.47915
4275.385,4299.615,4234.615,4279.487,4302.692,4316.41,4309.872,4614.744,4436.795,4390.897,4397.308,5479.744,4254.231,4196.026,1682463669.47915
4274.359,4300.128,4234.487,4280.128,4302.179,4315.128,4310.0,4611.795,4437.051,4390.513,4400.256,5480.513,4253.846,4196.538,1682463669.47915
4276.282,4297.949,4233.462,4280.513,4298.462,4312.179,4305.513,4613.846,4436.795,4392.179,4399.872,5480.769,4256.282,4196.154,1682463669.47915
4277.436,4297.308,4233.077,4280.385,4295.769,4312.564,4306.026,4615.769,4436.41,4395.0,4396.923,5479.744,4258.333,4194.359,1682463669.5161505
4274.872,4298.462,4233.077,4280.256,4301.026,4311.667,4310.256,4616.154,4435.256,4393.462,4393.846,5480.128,4254.872,4194.744,1682463669.5161505
4274.872,4298.205,4233.077,4280.897,4305.641,4308.333,4308.205,4615.897,4435.769,4391.795,4394.487,5481.538,4252.821,4195.385,1682463669.5161505
4275.897,4295.897,4233.462,4281.282,4302.051,4307.692,4304.231,4615.256,4438.974,4393.974,4398.077,5481.795,4254.231,4195.513,1682463669.5161505
4273.974,4295.641,4233.718,4280.128,4297.949,4307.692,4305.641,4616.154,4438.718,4392.692,4400.256,5480.513,4254.872,4197.949,1682463669.5491502
4274.231,4297.051,4233.333,4278.333,4299.359,4306.282,4309.103,4617.949,4435.0,4390.769,4399.487,5481.41,4255.641,4198.333,1682463669.5491502
4275.641,4298.205,4233.462,4278.846,4302.436,4308.718,4307.564,4617.051,4435.641,4393.333,4397.436,5481.923,4254.615,4195.256,1682463669.5491502
4273.59,4297.051,4234.103,4280.256,4299.359,4311.154,4305.641,4614.744,4439.487,4394.744,4396.538,5482.179,4255.128,4197.564,1682463669.5491502
4270.385,4296.923,4234.487,4280.256,4295.0,4312.692,4310.0,4611.667,4437.821,4390.769,4396.538,5481.795,4256.923,4197.692,1682463669.57615
4271.923,4295.641,4233.718,4280.641,4298.59,4311.282,4310.897,4612.564,4436.41,4390.897,4397.949,5480.641,4257.436,4196.282,1682463669.57615
4274.487,4293.59,4233.205,4280.897,4301.795,4310.513,4306.923,4617.308,4437.179,4395.256,4399.231,5481.538,4253.462,4197.436,1682463669.57615
4271.923,4296.282,4233.59,4280.513,4298.974,4310.513,4303.974,4617.436,4437.051,4392.821,4399.744,5483.59,4251.41,4199.103,1682463669.5771496
4270.513,4297.821,4233.077,4281.282,4297.051,4310.256,4306.41,4612.436,4436.538,4388.59,4396.795,5480.513,4249.744,4195.897,1682463669.6081495
4273.974,4296.538,4232.564,4281.923,4298.205,4309.615,4308.462,4614.359,4437.692,4390.897,4395.897,5480.128,4253.462,4194.231,1682463669.6081495
4273.205,4296.667,4232.436,4281.41,4300.641,4310.769,4309.615,4616.923,4437.436,4394.231,4395.385,5482.179,4256.282,4195.897,1682463669.6081495
4271.923,4296.538,4232.308,4281.282,4302.051,4309.872,4307.949,4615.0,4436.282,4393.077,4395.128,5481.41,4255.128,4197.821,1682463669.6081495
4274.872,4295.0,4233.333,4281.282,4299.487,4308.59,4306.154,4613.462,4435.128,4390.769,4395.769,5480.0,4253.974,4196.154,1682463669.6431496
4276.538,4297.308,4235.385,4279.103,4297.436,4307.564,4307.949,4613.59,4435.256,4392.436,4397.308,5481.795,4256.154,4194.103,1682463669.6441495
4274.103,4298.59,4235.641,4278.333,4298.846,4308.333,4307.436,4614.744,4436.795,4393.077,4398.846,5482.051,4254.872,4197.051,1682463669.6441495
4272.821,4298.077,4233.846,4279.872,4298.846,4311.923,4304.359,4614.231,4436.41,4390.0,4397.179,5479.872,4254.103,4199.487,1682463669.6441495
4273.718,4298.718,4233.077,4280.0,4298.846,4312.821,4304.231,4612.436,4435.641,4388.077,4394.487,5480.256,4256.026,4195.897,1682463669.673149
4274.103,4298.462,4233.333,4278.077,4301.538,4309.487,4305.897,4613.333,4436.154,4390.256,4393.846,5480.641,4254.231,4194.359,1682463669.673149
4274.359,4298.59,4233.846,4277.436,4302.179,4308.077,4305.256,4616.154,4439.103,4392.564,4396.154,5481.154,4254.487,4197.821,1682463669.673149
4275.385,4300.256,4233.846,4278.718,4300.256,4311.538,4305.256,4615.513,4441.026,4392.308,4395.256,5482.179,4255.385,4197.564,1682463669.673149
4274.103,4298.462,4233.462,4278.974,4299.872,4311.41,4307.564,4615.385,4439.487,4393.333,4396.538,5482.436,4256.667,4196.538,1682463669.695149
4270.0,4295.769,4233.205,4279.359,4301.282,4309.872,4307.179,4615.385,4437.308,4393.718,4398.846,5481.282,4257.949,4198.077,1682463669.695149
4271.026,4293.846,4233.462,4280.641,4300.897,4309.487,4303.462,4614.615,4437.949,4393.846,4396.282,5481.282,4258.333,4197.436,1682463669.696149
4274.231,4295.385,4233.462,4281.667,4301.41,4311.795,4304.615,4614.231,4438.205,4394.615,4393.333,5481.538,4253.59,4193.205,1682463669.696149
4274.103,4300.128,4233.333,4280.769,4302.051,4310.256,4307.564,4615.897,4437.564,4393.333,4395.769,5481.41,4253.718,4195.641,1682463669.7351494
4273.718,4296.667,4233.462,4280.0,4300.769,4308.718,4308.974,4615.256,4437.692,4391.795,4398.077,5481.282,4255.256,4197.436,1682463669.7351494
4274.359,4292.179,4233.462,4279.359,4298.846,4310.641,4307.179,4613.59,4438.205,4393.462,4397.692,5481.795,4253.462,4194.359,1682463669.7351494
4273.205,4296.923,4233.462,4279.231,4300.128,4311.538,4305.513,4614.872,4438.333,4392.821,4394.872,5482.308,4251.667,4194.103,1682463669.7351494
4272.949,4299.359,4233.462,4280.256,4300.256,4309.615,4306.795,4618.846,4438.718,4390.897,4392.051,5481.41,4253.846,4196.923,1682463669.7641487
4272.051,4295.128,4233.462,4279.231,4299.615,4309.615,4309.103,4617.564,4437.692,4391.667,4392.051,5479.872,4255.641,4197.179,1682463669.7641487
4272.436,4296.41,4233.462,4276.795,4300.641,4309.872,4307.821,4613.846,4438.205,4392.179,4395.769,5480.897,4254.359,4195.897,1682463669.7641487
4274.744,4297.308,4233.462,4278.718,4300.769,4308.718,4307.179,4615.385,4438.077,4390.0,4398.077,5482.308,4254.487,4195.385,1682463669.7641487
4274.487,4294.744,4233.333,4280.897,4301.154,4309.615,4308.846,4616.923,4435.897,4389.487,4397.179,5482.179,4255.513,4195.256,1682463669.7931485
4273.077,4295.128,4233.333,4277.436,4303.077,4310.769,4306.154,4615.641,4435.897,4391.41,4396.538,5483.333,4254.103,4196.026,1682463669.7931485
4273.462,4296.026,4233.462,4276.282,4302.051,4310.641,4304.487,4615.513,4437.436,4392.308,4397.692,5482.179,4252.436,4196.282,1682463669.7931485
4272.692,4296.026,4233.462,4280.256,4299.872,4310.385,4307.179,4616.154,4437.436,4391.795,4399.359,5479.359,4253.974,4197.179,1682463669.7931485
4272.564,4298.077,4233.333,4280.256,4301.923,4310.513,4309.615,4614.744,4437.564,4389.487,4397.692,5480.128,4252.949,4195.513,1682463669.8231492
4275.641,4297.436,4233.718,4278.077,4302.308,4310.385,4307.949,4615.256,4439.744,4391.026,4396.154,5482.436,4252.308,4195.385,1682463669.8231492
4276.154,4296.923,4234.487,4280.0,4299.231,4310.897,4305.128,4615.641,4439.359,4393.846,4396.538,5481.154,4253.462,4196.41,1682463669.824149
4273.974,4300.256,4234.615,4281.667,4297.949,4309.103,4305.769,4615.128,4438.205,4392.949,4396.923,5481.795,4256.41,4195.641,1682463669.824149
4273.718,4299.359,4233.59,4280.256,4300.0,4309.487,4310.641,4613.205,4438.718,4392.051,4395.897,5483.205,4255.385,4193.59,1682463669.8611484
4275.385,4295.897,4232.436,4280.513,4301.282,4310.641,4309.744,4614.359,4439.615,4393.59,4396.41,5482.051,4255.385,4195.513,1682463669.8611484
4275.256,4297.179,4232.436,4281.282,4303.077,4310.385,4305.128,4614.872,4439.359,4393.718,4393.974,5480.0,4255.0,4194.872,1682463669.8611484
4274.872,4298.846,4232.564,4279.744,4302.308,4310.0,4305.641,4614.487,4439.103,4392.821,4394.744,5481.154,4255.513,4195.0,1682463669.8611484
4274.231,4297.821,4232.179,4278.462,4300.769,4311.154,4308.974,4615.0,4439.487,4392.949,4398.846,5482.308,4255.128,4197.308,1682463669.883206
4274.359,4297.051,4232.692,4279.872,4301.538,4311.538,4306.795,4617.179,4438.077,4393.718,4399.231,5482.821,4255.128,4197.308,1682463669.883206
4275.769,4297.308,4234.103,4280.256,4300.385,4311.41,4306.154,4615.769,4435.385,4393.077,4396.41,5482.308,4255.513,4196.154,1682463669.883206
4275.256,4297.821,4234.744,4279.744,4298.974,4309.615,4307.564,4612.564,4436.154,4391.154,4396.154,5480.513,4254.872,4196.538,1682463669.883206
4271.923,4295.256,4234.231,4280.256,4301.154,4306.41,4306.538,4614.872,4439.231,4391.538,4396.667,5482.051,4254.359,4196.41,1682463669.9211483
4271.154,4292.308,4234.487,4280.513,4302.564,4309.103,4307.051,4617.821,4439.487,4393.59,4395.897,5484.103,4253.205,4196.154,1682463669.9211483
4274.231,4293.974,4234.744,4280.256,4301.282,4311.538,4308.846,4615.769,4437.692,4393.718,4398.205,5482.949,4252.821,4199.872,1682463669.9221563
4273.974,4297.949,4233.59,4280.897,4301.154,4310.128,4309.231,4613.333,4436.538,4392.692,4398.718,5481.154,4253.077,4199.487,1682463669.9221563
4272.436,4299.615,4232.564,4281.282,4300.897,4310.385,4307.308,4617.564,4436.667,4391.795,4396.154,5482.179,4255.769,4195.513,1682463669.9511478
4275.128,4301.923,4233.077,4281.282,4301.667,4312.308,4306.154,4619.231,4437.949,4390.385,4396.538,5482.179,4254.487,4194.103,1682463669.9511478
4276.795,4300.513,4233.59,4280.385,4304.103,4309.487,4306.795,4616.667,4438.59,4391.667,4400.256,5481.41,4254.359,4197.179,1682463669.9511478
4274.103,4297.821,4233.462,4278.718,4304.231,4308.462,4310.385,4616.667,4436.667,4393.462,4399.231,5482.308,4254.103,4196.41,1682463669.9511478
4273.205,4300.769,4233.462,4278.333,4301.282,4309.872,4308.846,4617.821,4437.051,4393.077,4394.615,5482.692,4254.487,4196.154,1682463669.9821513
4272.692,4301.026,4233.59,4280.0,4300.128,4308.462,4304.487,4615.641,4438.718,4391.154,4393.718,5480.641,4255.256,4198.077,1682463669.9821513
4273.718,4296.154,4233.59,4280.769,4301.154,4305.641,4304.872,4615.0,4439.231,4390.0,4397.564,5479.231,4256.795,4197.949,1682463669.9821513
4276.41,4295.641,4234.103,4280.769,4301.41,4308.333,4308.59,4616.41,4436.923,4389.744,4399.103,5479.744,4254.231,4195.769,1682463669.9821513
4276.154,4300.769,4234.615,4282.051,4302.692,4310.128,4306.538,4614.615,4436.282,4391.667,4398.59,5482.179,4252.436,4198.333,1682463670.0181475
4273.718,4300.897,4234.359,4281.026,4304.487,4308.974,4304.744,4611.795,4437.821,4393.462,4398.205,5482.051,4252.949,4199.487,1682463670.0181475
4275.513,4299.103,4233.205,4278.333,4302.051,4307.821,4307.564,4613.846,4437.179,4392.436,4398.974,5479.744,4253.718,4198.59,1682463670.0181475
4275.256,4298.59,4232.692,4279.103,4298.59,4309.103,4308.333,4617.564,4438.462,4391.795,4398.462,5481.154,4254.744,4197.949,1682463670.0191476
4271.795,4299.103,4233.462,4282.051,4298.59,4311.41,4305.513,4616.923,4441.795,4392.949,4397.179,5482.949,4254.231,4196.41,1682463670.0481467
4270.641,4298.718,4233.59,4280.769,4300.128,4311.41,4305.128,4613.205,4438.974,4393.333,4399.359,5480.769,4254.231,4196.282,1682463670.0481467
4271.795,4299.231,4233.333,4278.59,4301.026,4311.026,4307.564,4613.718,4434.359,4392.692,4397.051,5479.359,4255.641,4195.641,1682463670.0481467
4273.462,4300.256,4233.974,4281.026,4301.154,4310.641,4307.179,4616.667,4437.821,4392.051,4394.872,5482.949,4256.667,4195.513,1682463670.0481467
4275.0,4298.462,4234.359,4282.821,4302.308,4310.513,4304.103,4615.0,4438.59,4390.769,4396.538,5482.821,4254.103,4195.385,1682463670.0781472
4273.333,4297.308,4233.974,4280.128,4302.308,4309.359,4304.103,4613.59,4434.359,4390.641,4398.205,5480.0,4254.615,4196.282,1682463670.0781472
4270.769,4299.103,4232.949,4278.718,4301.923,4311.026,4309.487,4613.333,4434.615,4391.795,4399.103,5478.462,4255.513,4195.641,1682463670.0781472
4273.462,4300.128,4232.692,4280.513,4299.231,4311.667,4307.821,4617.179,4437.692,4390.513,4399.744,5480.0,4256.282,4197.564,1682463670.0781472
4276.667,4297.821,4233.59,4281.282,4297.692,4312.179,4302.821,4618.077,4437.179,4388.205,4396.667,5481.026,4254.359,4198.205,1682463670.1081471
4275.641,4294.615,4234.231,4279.487,4298.718,4311.282,4305.641,4614.744,4435.897,4390.128,4396.41,5480.0,4255.256,4195.256,1682463670.1081471
4274.103,4294.103,4233.59,4279.487,4300.128,4310.897,4309.744,4611.795,4434.744,4390.385,4398.846,5480.256,4257.051,4193.59,1682463670.1081471
4274.231,4297.179,4233.205,4280.0,4300.769,4310.641,4307.436,4613.974,4436.538,4388.846,4397.179,5482.179,4256.026,4196.026,1682463670.1081471
4271.41,4298.462,4233.462,4279.487,4300.641,4309.872,4305.385,4616.667,4439.359,4391.795,4396.795,5482.949,4253.59,4197.051,1682463670.1381474
4271.282,4297.949,4233.462,4278.333,4300.769,4310.128,4305.897,4616.667,4437.564,4394.615,4400.0,5482.821,4255.256,4197.692,1682463670.1381474
4273.077,4297.692,4233.333,4278.59,4299.615,4311.282,4307.436,4616.41,4437.308,4393.718,4398.718,5483.718,4255.513,4199.615,1682463670.1381474
4272.692,4298.718,4233.462,4279.359,4299.103,4310.769,4307.692,4614.872,4440.385,4392.949,4397.051,5481.795,4251.923,4197.949,1682463670.1381474
4272.949,4298.205,4233.462,4278.462,4300.897,4310.0,4306.795,4614.615,4439.231,4393.974,4399.744,5479.359,4255.897,4195.513,1682463670.1763926
4273.462,4297.564,4233.333,4278.205,4301.667,4310.641,4305.256,4615.256,4435.385,4392.564,4399.872,5481.154,4259.872,4196.795,1682463670.1763926
4273.077,4297.179,4233.333,4279.487,4299.487,4310.128,4306.154,4615.769,4435.385,4391.282,4398.205,5482.436,4256.923,4198.205,1682463670.1763926
4272.051,4299.487,4233.462,4278.205,4297.692,4310.256,4308.59,4615.513,4436.41,4391.282,4398.205,5480.128,4252.564,4195.897,1682463670.1763926
4272.564,4302.179,4233.333,4278.718,4300.0,4310.0,4309.103,4616.026,4437.179,4391.41,4396.538,5480.128,4254.744,4196.923,1682463670.198147
