AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1682464757.233141
4210.897,4227.051,4155.128,4201.282,4229.487,4236.667,4243.333,4510.769,4357.051,4318.077,4331.282,5431.154,4187.308,4120.0,1682464757.235691
4207.308,4228.205,4156.282,4201.41,4232.821,4235.256,4240.0,4511.795,4358.846,4326.026,4335.385,5429.103,4184.872,4118.077,1682464757.235691
4207.051,4226.667,4157.821,4200.513,4232.564,4239.231,4242.949,4513.077,4356.154,4327.051,4335.256,5427.564,4187.692,4120.385,1682464757.235691
4206.923,4228.718,4156.282,4201.667,4227.308,4239.872,4245.0,4511.282,4357.179,4324.872,4331.538,5431.667,4191.282,4121.538,1682464757.235691
4206.923,4228.077,4153.974,4204.744,4228.077,4235.641,4243.333,4509.744,4358.974,4325.513,4332.821,5433.718,4186.923,4118.462,1682464757.235691
4209.744,4225.897,4153.974,4204.744,4232.692,4236.282,4243.59,4511.538,4358.333,4325.0,4338.205,5429.103,4181.538,4118.333,1682464757.235691
4210.0,4226.923,4154.103,4203.718,4233.462,4241.41,4246.923,4511.282,4357.949,4322.564,4337.179,5427.308,4181.41,4119.231,1682464757.235691
4208.333,4227.821,4155.128,4203.333,4232.051,4239.487,4246.538,4510.385,4356.923,4323.462,4331.154,5430.0,4185.128,4118.718,1682464757.235691
4209.744,4229.744,4155.641,4201.667,4231.41,4238.205,4245.769,4511.154,4356.026,4326.923,4332.051,5431.026,4186.41,4118.333,1682464757.2951965
4210.128,4232.051,4156.667,4200.769,4232.564,4240.513,4246.282,4510.0,4356.795,4327.949,4337.436,5430.128,4187.051,4120.513,1682464757.2961972
4207.179,4230.128,4157.308,4202.051,4232.564,4239.872,4245.513,4509.615,4357.949,4326.154,4335.897,5431.282,4185.385,4123.077,1682464757.2961972
4209.103,4227.949,4154.872,4201.795,4232.436,4239.615,4244.359,4513.974,4357.821,4325.385,4332.949,5434.615,4184.359,4122.692,1682464757.2961972
4212.051,4228.59,4153.718,4200.385,4232.308,4238.974,4245.0,4515.641,4358.59,4324.872,4335.0,5433.333,4187.051,4119.872,1682464757.3251958
4207.949,4226.667,4154.231,4201.282,4231.923,4238.462,4244.872,4513.077,4359.231,4325.385,4336.282,5428.974,4187.436,4118.462,1682464757.3251958
4206.923,4228.205,4153.974,4201.154,4231.41,4239.872,4241.795,4512.949,4359.744,4324.103,4333.846,5430.256,4184.359,4120.385,1682464757.3251958
4211.41,4230.769,4153.846,4200.641,4230.513,4240.513,4241.667,4513.462,4358.462,4323.077,4332.692,5434.487,4183.59,4120.256,1682464757.3261964
4212.051,4230.513,4155.513,4202.051,4230.128,4239.487,4244.359,4512.179,4357.051,4326.026,4334.103,5432.821,4185.385,4121.41,1682464757.3571959
4209.744,4229.615,4155.513,4202.949,4230.897,4243.462,4246.154,4512.692,4358.333,4325.256,4335.0,5430.256,4184.615,4122.179,1682464757.3571959
4210.0,4231.282,4154.103,4202.949,4232.692,4244.359,4243.59,4513.462,4358.718,4319.231,4334.744,5433.462,4185.897,4120.256,1682464757.3571959
4209.615,4232.564,4155.128,4203.205,4233.718,4241.026,4243.974,4513.077,4356.282,4319.103,4332.692,5432.308,4188.077,4119.487,1682464757.3581963
4208.59,4231.795,4156.154,4201.923,4233.333,4241.795,4247.692,4512.436,4358.205,4325.769,4333.59,5427.564,4187.692,4121.667,1682464757.400196
4209.615,4231.538,4154.872,4199.872,4232.436,4243.205,4247.564,4508.333,4359.359,4325.641,4335.641,5429.231,4187.308,4120.897,1682464757.400196
4210.128,4232.179,4155.256,4199.231,4231.282,4239.744,4243.462,4507.692,4357.949,4320.897,4335.256,5433.718,4187.949,4117.179,1682464757.400196
4208.333,4229.615,4157.436,4198.974,4231.923,4238.462,4245.0,4513.205,4359.487,4322.949,4334.615,5431.923,4188.462,4117.051,1682464757.400196
4208.846,4226.026,4157.051,4201.154,4232.949,4241.154,4247.564,4516.41,4361.282,4328.846,4335.385,5431.026,4188.846,4120.128,1682464757.400196
4210.769,4228.077,4154.103,4201.667,4232.308,4242.308,4244.359,4514.744,4358.974,4326.667,4335.385,5435.128,4187.692,4120.769,1682464757.400196
4211.154,4232.051,4155.641,4202.564,4231.667,4240.897,4244.615,4514.103,4358.462,4321.538,4334.487,5435.897,4184.615,4119.615,1682464757.4011962
4210.128,4228.974,4156.923,4208.333,4231.923,4240.769,4249.103,4513.462,4359.231,4323.974,4335.256,5433.846,4183.59,4120.256,1682464757.4011962
4209.744,4227.564,4156.154,4208.333,4232.564,4241.154,4248.974,4512.692,4357.692,4326.026,4335.128,5432.821,4186.154,4122.692,1682464757.4481957
4209.103,4227.436,4157.308,4201.923,4231.795,4241.923,4245.769,4513.974,4357.308,4324.103,4335.0,5430.385,4189.359,4121.923,1682464757.4481957
4207.179,4226.154,4159.872,4202.692,4230.897,4243.846,4245.897,4513.974,4357.821,4323.205,4335.256,5431.282,4188.077,4119.231,1682464757.4481957
4209.103,4227.051,4161.026,4205.769,4231.795,4242.564,4245.769,4513.846,4359.103,4324.744,4335.513,5434.487,4185.385,4119.872,1682464757.4481957
4212.436,4229.359,4158.59,4201.795,4232.692,4241.538,4245.513,4513.59,4359.872,4326.026,4337.308,5430.769,4188.205,4121.282,1682464757.4781957
4213.333,4229.615,4154.615,4206.667,4231.923,4243.333,4245.256,4513.333,4360.385,4327.179,4338.077,5429.872,4191.026,4123.333,1682464757.479196
4211.026,4229.615,4153.974,4210.256,4231.538,4243.333,4246.154,4512.949,4360.0,4326.282,4334.231,5434.744,4186.282,4122.179,1682464757.479196
4209.231,4228.974,4158.974,4205.513,4233.205,4237.821,4246.538,4514.103,4358.974,4324.615,4334.103,5434.872,4185.385,4119.872,1682464757.479196
4210.513,4227.436,4161.026,4206.026,4233.205,4236.538,4246.923,4513.718,4356.026,4326.667,4337.821,5430.128,4188.59,4120.897,1682464757.5162003
