AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1682523116.464436
4266.667,4240.897,4231.41,4277.436,4280.256,4302.179,4307.821,4575.0,4429.615,4393.462,4375.897,5263.974,4254.103,4202.051,1682523116.4823751
4269.487,4239.872,4231.282,4276.026,4280.385,4304.487,4306.667,4580.128,4432.308,4392.821,4377.436,5265.513,4248.974,4203.718,1682523116.4823751
4276.41,4241.538,4229.744,4278.718,4280.769,4302.821,4304.231,4590.385,4434.359,4392.051,4378.718,5272.308,4252.308,4206.026,1682523116.4823751
4274.103,4238.846,4229.487,4280.128,4281.41,4299.615,4306.795,4586.41,4430.0,4386.795,4377.821,5277.821,4252.821,4208.205,1682523116.4823751
4274.872,4238.333,4232.436,4282.692,4281.282,4301.154,4305.769,4565.769,4420.641,4374.744,4388.333,5282.564,4259.359,4220.385,1682523116.5122747
4267.821,4230.0,4232.692,4276.41,4279.487,4307.051,4304.744,4567.821,4422.179,4375.0,4398.205,5288.462,4266.41,4224.487,1682523116.5122747
4275.513,4244.744,4231.923,4276.795,4286.026,4305.385,4305.128,4572.692,4426.026,4378.462,4388.205,5288.462,4273.077,4225.385,1682523116.5122747
4266.667,4235.897,4230.641,4275.0,4284.872,4296.538,4303.462,4571.026,4425.641,4376.282,4384.359,5291.41,4270.769,4222.308,1682523116.5122747
4275.385,4250.0,4234.231,4283.846,4283.462,4300.897,4304.231,4562.308,4421.154,4374.615,4385.256,5284.872,4276.41,4226.538,1682523116.5421734
4260.769,4236.538,4234.615,4277.051,4278.59,4304.103,4303.205,4568.974,4423.846,4380.128,4382.436,5276.923,4273.205,4213.718,1682523116.5421734
4275.641,4252.692,4234.231,4280.256,4286.923,4307.692,4305.0,4560.769,4420.0,4376.538,4371.923,5271.795,4263.846,4207.051,1682523116.5421734
4270.128,4235.641,4235.385,4276.282,4283.846,4301.795,4304.615,4564.487,4420.385,4375.897,4372.308,5273.205,4258.718,4199.231,1682523116.5431695
4276.026,4247.179,4235.0,4281.282,4285.769,4305.513,4308.846,4566.282,4420.128,4380.385,4366.538,5267.051,4253.59,4198.205,1682523116.5750623
4262.821,4238.205,4231.795,4278.718,4283.462,4302.821,4304.872,4565.128,4422.179,4378.59,4370.128,5271.154,4248.846,4195.513,1682523116.5760589
4274.744,4249.231,4230.897,4280.769,4285.385,4307.308,4308.59,4571.282,4428.205,4387.179,4371.923,5276.41,4248.846,4196.41,1682523116.5760589
4272.436,4242.051,4231.282,4276.538,4279.103,4303.077,4308.846,4582.564,4433.59,4399.872,4373.077,5278.462,4252.564,4195.769,1682523116.5760589
4271.923,4245.897,4227.821,4278.462,4278.205,4304.231,4308.077,4580.769,4430.128,4394.744,4374.103,5277.308,4248.462,4198.974,1682523116.6019719
4274.359,4239.872,4230.769,4279.103,4279.872,4305.128,4301.538,4587.051,4431.026,4385.0,4380.0,5283.59,4253.718,4204.231,1682523116.6019719
4277.949,4237.308,4235.769,4277.692,4281.538,4307.692,4303.974,4589.615,4432.949,4383.462,4383.462,5288.59,4258.333,4209.359,1682523116.6029701
4277.821,4239.744,4235.513,4278.205,4282.436,4303.333,4308.974,4579.744,4429.615,4384.359,4387.692,5292.949,4262.564,4217.308,1682523116.6029701
4270.256,4233.077,4232.308,4278.846,4282.051,4300.641,4308.974,4572.051,4425.0,4376.154,4387.564,5295.0,4258.59,4216.923,1682523116.6328685
4275.641,4245.128,4235.897,4282.564,4285.769,4300.256,4301.667,4570.0,4425.0,4372.821,4383.59,5292.821,4269.231,4222.179,1682523116.6328685
4264.615,4242.051,4236.154,4277.564,4283.462,4299.744,4302.949,4567.564,4425.769,4376.795,4381.154,5288.205,4269.103,4216.154,1682523116.6328685
4273.462,4252.436,4235.256,4280.641,4282.949,4304.487,4310.128,4556.026,4420.128,4374.487,4376.154,5281.795,4263.59,4211.923,1682523116.633864
4263.462,4234.359,4235.256,4274.872,4282.051,4302.564,4307.949,4563.077,4419.615,4375.897,4375.513,5282.308,4258.462,4202.179,1682523116.669743
4278.077,4249.615,4234.487,4280.0,4291.026,4304.359,4306.026,4561.795,4419.744,4379.103,4369.359,5277.692,4259.359,4202.692,1682523116.669743
4270.897,4235.513,4231.538,4276.795,4283.59,4301.282,4304.872,4563.205,4425.0,4380.256,4370.641,5276.923,4253.974,4197.308,1682523116.6707397
4279.103,4248.077,4231.538,4282.051,4282.179,4306.026,4309.487,4562.821,4425.385,4382.949,4368.205,5277.564,4247.692,4196.41,1682523116.6707397
4264.615,4237.436,4232.308,4277.179,4281.41,4301.41,4307.308,4573.846,4427.179,4389.872,4371.154,5285.128,4248.077,4194.487,1682523116.7006392
4271.795,4247.179,4230.897,4281.667,4284.487,4304.872,4309.487,4579.231,4427.949,4393.462,4369.487,5281.667,4248.077,4197.949,1682523116.7006392
4268.333,4235.513,4229.103,4279.872,4277.308,4301.282,4306.923,4587.436,4433.205,4395.385,4371.795,5285.513,4251.154,4201.538,1682523116.7006392
4274.487,4243.333,4229.872,4281.667,4282.436,4304.487,4307.051,4586.923,4431.026,4393.59,4374.359,5295.641,4247.308,4208.59,1682523116.7006392
4272.692,4236.795,4232.051,4280.641,4285.641,4302.821,4304.615,4586.923,4428.59,4387.564,4380.513,5298.205,4251.667,4208.205,1682523116.729543
4272.436,4237.179,4231.41,4281.154,4283.974,4302.051,4308.077,4581.923,4427.051,4380.128,4381.923,5294.872,4258.077,4208.974,1682523116.729543
4270.769,4240.769,4233.205,4278.846,4282.821,4300.0,4308.077,4572.436,4425.513,4376.795,4385.769,5303.846,4268.077,4220.641,1682523116.729543
4270.385,4242.436,4234.615,4276.282,4284.744,4304.359,4309.487,4565.769,4422.564,4372.179,4387.308,5303.077,4263.462,4221.026,1682523116.729543
4276.154,4248.974,4236.923,4279.103,4283.718,4305.256,4306.41,4564.615,4421.026,4371.538,4379.744,5290.0,4265.0,4216.026,1682523116.7594423
4265.385,4241.154,4234.872,4276.923,4280.128,4303.077,4305.769,4561.41,4422.051,4374.615,4373.333,5287.051,4261.154,4206.923,1682523116.7594423
4277.949,4251.026,4232.564,4281.795,4284.615,4304.872,4307.051,4552.949,4419.359,4373.462,4373.718,5289.103,4259.615,4208.205,1682523116.7594423
4273.59,4235.641,4231.026,4275.897,4282.436,4302.949,4305.769,4564.359,4421.538,4376.795,4376.538,5288.333,4253.077,4198.718,1682523116.7594423
4279.103,4250.641,4233.205,4280.0,4285.256,4303.59,4306.154,4563.462,4423.205,4381.538,4369.103,5283.974,4253.333,4197.564,1682523116.7973154
4262.692,4236.154,4230.641,4277.308,4281.538,4301.282,4305.513,4565.641,4426.667,4384.615,4366.667,5288.333,4252.051,4195.256,1682523116.7973154
4274.487,4248.462,4227.308,4282.179,4284.872,4306.282,4310.0,4568.846,4425.897,4388.846,4362.179,5289.487,4249.231,4195.897,1682523116.7973154
4265.513,4237.179,4230.385,4274.359,4281.667,4301.795,4306.154,4576.667,4429.487,4395.0,4368.846,5294.872,4246.923,4193.205,1682523116.7973154
4275.769,4248.718,4233.333,4279.359,4284.487,4304.487,4308.077,4577.564,4431.282,4393.59,4374.103,5293.59,4245.513,4198.333,1682523116.8212388
4269.615,4233.718,4232.179,4278.59,4279.103,4300.513,4306.282,4590.256,4434.103,4390.385,4377.308,5295.513,4251.538,4200.385,1682523116.8212388
4275.0,4242.821,4232.308,4279.744,4282.564,4301.923,4305.128,4588.718,4430.385,4388.718,4376.282,5298.462,4255.641,4209.744,1682523116.8212388
4269.487,4236.41,4233.462,4277.179,4285.128,4300.128,4301.026,4583.462,4428.974,4385.641,4382.949,5304.744,4257.949,4211.538,1682523116.8212388
4271.795,4241.538,4232.179,4281.282,4287.564,4305.641,4306.026,4575.641,4426.026,4376.795,4382.564,5303.462,4258.846,4208.718,1682523116.8571131
