AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1683039837.2156804
4349.359,4356.538,4311.795,4344.744,4358.59,4356.41,4367.564,4347.692,4329.487,4296.795,4311.538,4445.385,4308.846,4305.769,1683039837.228882
4338.974,4340.0,4303.205,4328.462,4344.359,4349.231,4351.41,4337.051,4322.308,4292.308,4293.974,4430.897,4292.692,4293.974,1683039837.228882
4341.795,4344.103,4307.179,4331.41,4342.949,4367.436,4354.744,4342.051,4331.538,4302.436,4296.282,4437.821,4294.359,4301.667,1683039837.2298899
4359.103,4363.59,4322.308,4348.974,4354.359,4379.359,4371.282,4359.103,4341.538,4299.487,4319.615,4464.615,4315.769,4321.026,1683039837.2298899
4349.615,4348.974,4313.333,4336.282,4344.615,4354.872,4352.051,4341.538,4329.615,4281.667,4299.487,4445.641,4299.487,4304.359,1683039837.2585413
4336.026,4336.154,4301.026,4326.026,4342.308,4364.103,4343.077,4331.667,4322.564,4277.821,4281.923,4423.333,4284.487,4288.462,1683039837.2588148
4332.949,4338.59,4300.897,4324.103,4350.0,4381.667,4360.0,4345.897,4328.462,4281.667,4291.538,4426.667,4291.026,4291.154,1683039837.2588148
4324.744,4331.282,4297.051,4310.0,4340.513,4347.051,4346.923,4332.692,4323.462,4288.205,4277.949,4412.436,4280.641,4281.795,1683039837.259311
4337.436,4345.0,4304.231,4326.154,4343.846,4337.051,4340.128,4330.769,4329.744,4312.436,4288.462,4422.308,4296.026,4291.923,1683039837.3036172
4361.026,4370.128,4316.923,4355.256,4352.308,4372.821,4362.949,4360.385,4349.103,4327.692,4331.667,4458.846,4333.974,4315.513,1683039837.3041134
4363.59,4371.538,4314.359,4351.026,4343.077,4373.205,4373.59,4371.41,4351.923,4328.077,4343.462,4465.0,4339.231,4316.282,1683039837.3041134
4352.436,4360.513,4306.282,4338.718,4344.359,4345.769,4364.231,4358.205,4342.564,4331.026,4327.179,4448.205,4325.641,4306.026,1683039837.3041134
4342.821,4348.205,4303.974,4334.744,4352.051,4344.872,4352.564,4343.462,4335.0,4312.821,4313.846,4433.974,4317.564,4298.462,1683039837.325338
4340.256,4340.256,4303.59,4330.256,4346.282,4357.692,4348.974,4338.205,4333.077,4292.308,4306.41,4430.385,4310.128,4296.026,1683039837.3263366
4350.128,4351.282,4307.436,4337.436,4349.872,4367.308,4361.026,4353.205,4339.487,4311.538,4318.59,4451.667,4322.564,4310.128,1683039837.3263366
4352.051,4359.744,4308.718,4343.077,4355.897,4373.205,4369.231,4365.513,4343.077,4324.359,4328.846,4463.718,4332.949,4313.846,1683039837.3263366
4342.692,4353.718,4306.667,4337.821,4346.923,4369.872,4362.308,4355.0,4337.564,4302.564,4314.359,4446.154,4315.128,4301.026,1683039837.363224
4346.538,4350.641,4308.846,4336.795,4342.179,4364.103,4358.59,4350.128,4339.231,4308.462,4309.231,4441.923,4307.179,4302.179,1683039837.3642244
4347.564,4343.462,4308.974,4329.744,4343.333,4357.051,4355.0,4350.641,4341.923,4323.462,4310.897,4446.154,4309.744,4304.359,1683039837.3642244
4341.026,4344.359,4307.564,4329.744,4350.0,4362.308,4363.59,4355.0,4339.744,4314.231,4313.462,4446.923,4312.692,4303.846,1683039837.3642244
4334.744,4348.205,4302.179,4333.718,4349.487,4363.205,4367.051,4351.154,4332.436,4308.077,4310.641,4440.256,4307.564,4300.641,1683039837.365217
4333.59,4342.308,4297.949,4325.385,4333.846,4337.949,4343.077,4327.692,4322.436,4297.821,4292.821,4424.615,4294.615,4291.154,1683039837.365217
4347.821,4351.538,4308.59,4333.59,4338.462,4339.231,4348.59,4331.026,4331.41,4296.41,4299.103,4434.231,4305.897,4301.41,1683039837.365217
4353.974,4359.103,4316.795,4345.641,4352.179,4368.59,4377.949,4357.051,4344.231,4314.487,4321.026,4457.436,4322.821,4313.974,1683039837.365217
4346.154,4351.923,4311.282,4339.359,4347.308,4372.821,4379.231,4368.077,4344.615,4326.282,4323.077,4460.256,4321.923,4309.231,1683039837.4170232
4355.385,4363.077,4317.308,4349.744,4352.179,4361.282,4376.154,4370.385,4345.256,4327.564,4332.949,4465.385,4333.462,4319.103,1683039837.417517
4374.231,4378.974,4328.462,4369.744,4366.41,4364.487,4381.795,4367.949,4342.308,4325.385,4356.667,4482.051,4354.487,4337.692,1683039837.417517
4372.949,4373.333,4326.026,4365.256,4362.949,4380.385,4377.692,4359.615,4338.974,4326.026,4351.795,4481.154,4347.949,4330.128,1683039837.4179943
4355.897,4360.897,4316.667,4348.59,4353.718,4378.846,4371.026,4353.718,4339.231,4327.051,4323.333,4460.513,4325.256,4308.974,1683039837.4466927
4343.846,4348.718,4309.359,4333.718,4347.308,4350.513,4360.385,4343.333,4331.538,4315.0,4305.513,4443.59,4310.897,4299.103,1683039837.4469566
4349.359,4348.333,4309.359,4330.897,4341.923,4337.179,4352.179,4336.41,4327.051,4313.974,4307.821,4446.923,4311.026,4306.41,1683039837.4474523
4358.974,4357.179,4312.821,4343.205,4351.282,4347.564,4361.154,4344.359,4333.205,4311.667,4317.308,4455.256,4318.077,4314.487,1683039837.4474523
4349.103,4347.564,4309.359,4341.41,4357.051,4342.949,4359.359,4339.744,4326.026,4270.769,4310.128,4443.205,4310.0,4300.897,1683039837.484194
4341.026,4339.231,4305.385,4329.487,4346.538,4349.231,4357.821,4339.103,4322.949,4270.641,4302.692,4436.282,4301.154,4293.59,1683039837.484194
4347.051,4353.59,4308.59,4335.0,4346.026,4385.641,4381.923,4364.359,4343.974,4338.077,4310.0,4452.692,4308.59,4309.103,1683039837.4847243
4348.077,4357.821,4309.231,4339.872,4352.692,4385.128,4385.897,4369.231,4345.128,4337.051,4309.359,4453.974,4310.769,4310.256,1683039837.4847243
4349.615,4353.205,4312.436,4339.744,4351.41,4349.487,4364.872,4349.744,4326.667,4288.974,4311.41,4445.128,4308.462,4305.385,1683039837.5131788
4353.974,4358.846,4317.436,4345.256,4352.051,4337.692,4363.205,4344.231,4324.615,4304.487,4319.615,4451.41,4312.308,4310.641,1683039837.5131788
4353.077,4365.769,4316.154,4351.154,4360.128,4355.769,4377.564,4353.59,4332.436,4328.974,4320.128,4457.821,4317.051,4310.256,1683039837.5142312
4362.308,4376.282,4320.641,4362.436,4369.359,4378.718,4389.487,4368.718,4342.179,4328.077,4334.103,4470.256,4331.154,4314.744,1683039837.5142312
4373.59,4383.974,4329.231,4371.154,4372.564,4381.795,4393.077,4379.744,4348.462,4332.051,4355.385,4487.692,4346.282,4326.538,1683039837.5443735
4364.231,4374.487,4323.077,4359.359,4369.615,4381.538,4392.564,4376.667,4342.821,4330.641,4347.179,4481.923,4339.872,4320.897,1683039837.5443735
4339.103,4345.897,4303.077,4328.205,4350.256,4366.41,4369.231,4348.462,4323.974,4306.026,4307.179,4443.333,4311.026,4296.41,1683039837.5443735
4324.103,4325.513,4291.667,4312.179,4335.513,4330.897,4339.231,4320.897,4315.0,4271.154,4280.0,4413.59,4291.026,4282.179,1683039837.5453753
