AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1682526820.85931
4306.154,4338.846,4300.513,4322.308,4324.103,4305.128,4260.513,4354.744,4306.667,4295.256,4367.051,4455.256,4335.769,4368.205,1682526820.86635
4301.282,4326.538,4289.872,4315.769,4327.436,4307.308,4259.872,4359.359,4297.308,4287.308,4365.385,4448.077,4324.487,4358.077,1682526820.866847
4304.103,4326.154,4302.051,4321.795,4348.462,4311.923,4262.692,4367.308,4313.59,4283.718,4371.41,4460.513,4334.359,4368.59,1682526820.866847
4307.564,4341.538,4316.795,4336.667,4352.051,4311.795,4263.205,4364.744,4323.205,4285.256,4373.462,4472.564,4349.615,4383.205,1682526820.8673422
4304.487,4341.026,4304.872,4333.077,4325.897,4309.872,4262.179,4355.513,4303.718,4288.333,4368.205,4459.103,4342.821,4369.615,1682526820.9011426
4303.077,4322.051,4288.205,4311.538,4298.718,4308.846,4262.692,4354.103,4300.513,4288.462,4359.615,4443.59,4326.667,4351.026,1682526820.9011426
4304.487,4312.821,4293.205,4310.513,4295.128,4309.487,4262.692,4360.256,4306.41,4289.744,4356.923,4448.462,4325.385,4355.897,1682526820.9011426
4304.487,4329.487,4309.231,4330.897,4327.051,4312.179,4263.718,4364.615,4305.513,4285.0,4372.436,4461.154,4337.564,4372.308,1682526820.9011426
4305.385,4347.564,4314.231,4335.641,4350.256,4310.897,4264.359,4366.795,4324.615,4283.846,4386.026,4468.462,4349.615,4378.333,1682526820.9250844
4306.026,4341.41,4303.333,4322.564,4333.718,4307.821,4261.923,4360.0,4323.718,4294.487,4370.897,4459.487,4338.718,4366.795,1682526820.9250844
4303.59,4335.897,4298.333,4322.308,4319.872,4310.256,4261.026,4357.179,4306.538,4302.692,4362.564,4455.0,4327.949,4360.256,1682526820.9250844
4303.974,4336.41,4307.692,4328.462,4336.923,4312.949,4264.615,4363.974,4327.308,4307.692,4380.897,4468.718,4336.667,4371.667,1682526820.9250844
4303.846,4332.949,4313.974,4331.667,4353.59,4310.513,4265.128,4363.718,4335.641,4299.744,4387.436,4474.231,4339.744,4375.641,1682526820.955552
4302.949,4325.641,4305.897,4325.641,4336.154,4308.077,4261.795,4356.282,4302.692,4281.154,4367.692,4462.436,4326.41,4363.205,1682526820.955552
4303.077,4320.897,4297.308,4309.872,4305.385,4308.205,4260.897,4356.538,4288.59,4269.487,4353.333,4450.128,4319.615,4355.256,1682526820.955552
4303.718,4335.897,4305.0,4318.077,4310.0,4309.103,4262.821,4362.436,4314.103,4288.333,4370.256,4460.385,4338.846,4369.872,1682526820.9566398
4302.436,4346.026,4312.564,4335.769,4343.462,4311.026,4264.872,4363.718,4327.821,4303.59,4381.282,4471.667,4346.923,4379.872,1682526820.9855003
4303.846,4321.282,4301.154,4320.513,4336.154,4310.256,4263.974,4359.103,4303.846,4290.897,4362.564,4459.231,4326.026,4364.359,1682526820.9855003
4307.821,4302.692,4290.385,4304.103,4301.282,4307.564,4261.154,4356.026,4289.487,4290.128,4353.59,4448.59,4318.333,4353.974,1682526820.9855003
4308.462,4319.744,4296.41,4316.538,4306.667,4309.744,4261.795,4362.564,4311.41,4286.41,4367.821,4453.333,4329.744,4359.872,1682526820.9855003
4306.026,4342.564,4310.0,4334.359,4348.462,4312.179,4266.154,4367.308,4333.077,4278.077,4382.308,4468.462,4339.231,4372.436,1682526821.022205
4305.897,4352.436,4317.308,4341.282,4361.795,4310.513,4266.795,4362.564,4339.231,4298.718,4387.692,4478.462,4349.359,4385.0,1682526821.0227017
4307.308,4342.179,4306.538,4329.231,4322.051,4310.0,4264.103,4356.538,4329.615,4321.923,4378.205,4469.487,4348.333,4377.949,1682526821.0229945
4307.821,4318.59,4291.026,4311.41,4305.513,4311.538,4264.744,4358.462,4299.231,4297.821,4360.769,4453.59,4328.846,4358.974,1682526821.023199
4307.436,4317.821,4293.718,4316.795,4338.718,4310.641,4265.513,4364.487,4292.051,4271.154,4364.487,4454.872,4327.692,4360.897,1682526821.0443907
4306.795,4329.487,4298.462,4326.795,4351.923,4308.59,4264.231,4361.026,4319.231,4288.077,4376.923,4461.538,4342.821,4368.462,1682526821.045406
4306.795,4320.641,4287.564,4313.333,4325.385,4310.641,4264.359,4355.641,4322.436,4297.179,4364.231,4450.385,4332.949,4352.949,1682526821.045406
4305.897,4303.718,4275.641,4295.128,4313.077,4312.308,4265.385,4356.026,4291.795,4266.282,4341.923,4433.205,4309.231,4336.282,1682526821.045406
4305.256,4297.821,4271.923,4291.923,4321.41,4310.128,4263.974,4357.436,4281.282,4238.974,4333.718,4426.41,4302.308,4335.256,1682526821.0832691
4305.0,4312.692,4283.077,4309.231,4326.538,4309.872,4264.359,4360.513,4305.769,4267.821,4352.692,4442.821,4323.333,4350.641,1682526821.0842578
4306.026,4342.179,4301.795,4330.897,4337.051,4312.692,4265.897,4367.436,4330.385,4313.718,4383.205,4467.821,4351.026,4372.949,1682526821.0842578
4305.385,4343.718,4301.538,4323.077,4334.744,4311.41,4263.462,4364.615,4330.769,4319.487,4382.949,4465.769,4346.026,4370.385,1682526821.0842578
4306.282,4328.333,4293.205,4314.744,4345.641,4309.103,4262.051,4358.846,4314.487,4306.538,4370.128,4455.385,4331.667,4359.231,1682526821.1121747
4308.718,4336.795,4298.077,4333.974,4378.077,4311.923,4265.0,4360.385,4303.462,4290.769,4373.333,4461.026,4337.949,4364.615,1682526821.1121747
4307.949,4338.974,4298.846,4334.231,4360.256,4312.949,4265.769,4360.256,4307.692,4286.923,4367.436,4460.385,4335.0,4362.949,1682526821.1121747
4305.128,4313.077,4290.256,4309.359,4305.513,4310.128,4263.974,4362.692,4321.026,4291.538,4354.359,4450.256,4316.026,4350.385,1682526821.1121747
4307.821,4299.103,4290.385,4301.923,4292.179,4310.0,4264.744,4365.641,4319.231,4269.615,4355.128,4444.615,4307.179,4345.513,1682526821.142603
4309.744,4317.179,4296.923,4317.564,4322.308,4312.692,4266.667,4360.513,4307.821,4254.744,4361.026,4446.154,4319.872,4352.179,1682526821.142603
4307.949,4333.718,4297.949,4326.41,4349.103,4313.077,4265.641,4354.487,4311.41,4296.154,4362.051,4450.769,4333.205,4357.308,1682526821.142603
4307.436,4322.051,4290.513,4315.256,4352.179,4312.564,4262.051,4358.077,4315.769,4322.179,4358.846,4448.077,4326.026,4349.615,1682526821.1435945
4307.051,4312.821,4290.513,4311.667,4333.846,4314.359,4261.154,4364.231,4313.205,4303.333,4361.667,4446.282,4320.641,4345.0,1682526821.1724167
4306.923,4320.769,4293.333,4319.872,4315.256,4313.205,4263.718,4358.718,4304.359,4276.667,4362.564,4446.282,4324.231,4349.359,1682526821.1729133
4309.487,4320.385,4282.821,4315.513,4311.41,4308.462,4264.103,4351.667,4294.744,4256.667,4348.462,4437.564,4313.718,4345.897,1682526821.1729133
4311.41,4314.359,4280.513,4310.0,4319.615,4308.974,4264.359,4356.154,4297.436,4262.051,4345.256,4435.513,4306.41,4342.308,1682526821.1732557
4310.0,4328.718,4296.538,4326.282,4351.41,4312.308,4266.026,4363.077,4312.949,4291.154,4364.487,4454.487,4327.179,4354.615,1682526821.2102814
4310.641,4334.872,4300.128,4331.923,4354.359,4312.692,4265.769,4358.462,4313.205,4305.897,4370.513,4462.436,4338.205,4359.487,1682526821.2102814
4310.0,4323.333,4293.077,4320.385,4318.077,4313.59,4264.615,4356.282,4303.59,4295.256,4369.744,4455.385,4332.436,4355.385,1682526821.2102814
4309.359,4322.051,4295.0,4324.103,4322.692,4314.615,4266.154,4364.231,4315.897,4289.231,4381.154,4459.359,4336.795,4358.59,1682526821.2102814
4309.359,4325.513,4293.333,4327.436,4349.231,4312.692,4267.308,4363.846,4327.179,4293.974,4375.256,4457.692,4335.769,4356.026,1682526821.2335641
4310.513,4340.128,4296.41,4329.615,4357.308,4311.538,4267.051,4361.667,4323.205,4307.308,4371.795,4458.077,4339.487,4359.359,1682526821.2335641
4312.692,4363.974,4314.744,4347.051,4373.59,4312.692,4267.692,4368.974,4340.897,4318.974,4396.923,4480.641,4358.59,4375.769,1682526821.234271
4315.256,4368.59,4325.385,4361.923,4387.051,4312.179,4267.051,4373.077,4365.769,4342.821,4413.333,4494.359,4368.59,4387.051,1682526821.234271
4315.769,4369.872,4325.769,4366.282,4382.692,4312.179,4265.128,4367.436,4353.846,4389.103,4414.103,4490.769,4376.154,4392.821,1682526821.2714233
4313.718,4372.949,4328.974,4367.692,4392.692,4315.385,4265.513,4364.615,4343.077,4394.231,4417.179,4496.154,4387.436,4399.615,1682526821.2714233
4315.128,4367.051,4335.385,4372.051,4423.718,4315.256,4267.051,4369.231,4353.846,4363.077,4420.641,4505.128,4388.462,4405.256,1682526821.2719197
4316.154,4387.308,4345.128,4385.769,4436.41,4315.897,4266.923,4369.744,4352.821,4369.872,4430.256,4512.308,4397.692,4414.103,1682526821.2719197
4314.744,4417.436,4356.41,4402.051,4430.769,4317.821,4265.513,4371.154,4363.462,4426.795,4444.744,4524.231,4421.154,4426.41,1682526821.3006802
4314.872,4405.256,4357.051,4399.615,4430.513,4316.667,4267.179,4375.641,4379.872,4469.872,4449.487,4526.538,4424.231,4428.59,1682526821.301225
4318.462,4391.795,4353.333,4394.615,4436.667,4314.103,4266.795,4374.359,4361.154,4449.231,4451.41,4526.282,4417.051,4426.026,1682526821.301225
4319.872,4410.513,4359.487,4407.692,4454.744,4318.333,4268.974,4372.821,4354.872,4408.974,4459.744,4536.667,4427.564,4430.256,1682526821.3017936
4320.0,4416.538,4370.385,4416.154,4461.41,4323.462,4273.59,4379.359,4387.821,4408.846,4462.821,4543.718,4435.641,4438.333,1682526821.3343377
4317.692,4410.897,4372.179,4409.487,4443.718,4321.667,4273.333,4385.513,4402.821,4424.744,4461.026,4545.385,4427.692,4441.795,1682526821.3343377
