AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1682545172.9472466
4229.487,4267.051,4204.872,4247.821,4279.487,4286.282,4284.103,4311.538,4293.718,4235.513,4296.795,4017.051,4338.333,4370.256,1682545172.9512343
4242.051,4265.897,4212.949,4252.692,4281.154,4285.513,4287.179,4310.641,4290.641,4231.923,4300.256,4020.385,4337.564,4370.385,1682545172.9512343
4250.769,4270.385,4205.0,4251.282,4282.949,4286.41,4283.333,4315.385,4298.077,4236.154,4298.077,4018.59,4332.179,4361.41,1682545172.9512343
4260.128,4283.974,4204.359,4255.128,4283.974,4286.282,4278.59,4310.641,4298.205,4237.308,4295.0,4017.051,4330.0,4355.128,1682545172.9522302
4249.359,4282.949,4201.923,4251.795,4282.692,4286.538,4280.769,4314.359,4296.667,4237.051,4297.436,4020.641,4327.308,4341.154,1682545172.9851205
4243.205,4288.077,4209.872,4251.538,4283.077,4290.769,4277.692,4309.744,4288.718,4230.769,4299.359,4029.231,4322.051,4339.872,1682545172.9861171
4233.59,4283.205,4197.436,4236.154,4284.231,4289.359,4273.718,4316.538,4291.923,4236.154,4298.205,4027.436,4324.103,4334.872,1682545172.9861171
4240.128,4275.128,4197.308,4238.846,4283.718,4289.359,4273.205,4308.077,4287.179,4236.282,4297.051,4020.385,4323.974,4342.692,1682545172.9861171
4224.231,4253.333,4195.385,4237.821,4277.564,4288.077,4277.564,4310.0,4290.128,4238.846,4300.897,4026.154,4319.615,4341.41,1682545172.9861171
4228.333,4258.462,4203.718,4241.282,4278.718,4286.923,4275.256,4306.026,4285.897,4236.795,4299.231,4029.744,4322.821,4355.769,1682545172.987114
4223.077,4251.667,4202.949,4235.256,4281.923,4284.615,4278.974,4306.538,4287.051,4237.436,4301.41,4032.179,4328.077,4357.308,1682545172.987114
4223.846,4258.846,4201.923,4240.641,4281.795,4286.923,4281.667,4300.897,4287.821,4233.846,4299.359,4026.667,4332.436,4360.256,1682545172.987114
4213.718,4259.359,4201.026,4241.026,4278.846,4286.026,4288.077,4304.615,4288.718,4231.282,4301.538,4030.0,4332.692,4366.923,1682545173.040933
4234.615,4270.256,4205.769,4246.795,4280.769,4284.359,4282.692,4305.128,4289.872,4231.667,4307.692,4041.538,4345.769,4390.0,1682545173.040933
4238.205,4264.231,4210.385,4250.897,4282.821,4288.205,4282.949,4312.821,4286.282,4223.205,4302.692,4032.179,4333.846,4373.974,1682545173.0419302
4246.923,4279.103,4210.897,4252.949,4282.179,4286.538,4279.872,4321.795,4286.282,4221.026,4298.077,4018.333,4338.846,4368.718,1682545173.0419302
4251.41,4289.744,4209.487,4253.718,4284.359,4284.872,4283.205,4316.154,4287.949,4228.077,4299.359,4020.128,4335.256,4358.974,1682545173.0728266
4250.513,4292.436,4200.897,4249.744,4288.59,4288.333,4280.0,4317.179,4296.41,4238.205,4302.436,4027.564,4333.59,4344.487,1682545173.0728266
4238.462,4288.846,4204.359,4247.692,4287.051,4291.282,4275.897,4308.462,4290.128,4232.949,4298.077,4025.897,4319.744,4327.821,1682545173.0738232
4231.538,4286.282,4200.769,4238.846,4281.026,4287.051,4272.051,4304.103,4292.564,4235.641,4302.692,4035.769,4325.0,4334.744,1682545173.0738232
4228.846,4277.308,4200.769,4240.769,4282.308,4287.308,4274.744,4292.436,4286.41,4230.513,4307.692,4041.282,4325.256,4348.462,1682545173.1027267
4215.0,4254.103,4196.154,4238.718,4282.436,4289.359,4276.795,4301.41,4283.205,4229.103,4313.205,4038.59,4329.231,4357.051,1682545173.1027267
4220.641,4259.615,4205.385,4244.615,4279.359,4287.179,4275.513,4300.769,4275.256,4220.256,4312.949,4035.256,4337.564,4365.0,1682545173.1027267
4213.59,4257.821,4198.59,4237.308,4278.333,4284.231,4284.231,4306.667,4279.744,4224.872,4310.513,4032.564,4334.359,4353.846,1682545173.1027267
4230.513,4257.051,4203.974,4242.821,4282.821,4286.667,4287.692,4301.282,4279.744,4226.41,4307.821,4028.333,4333.59,4372.821,1682545173.138606
4230.256,4253.205,4203.462,4244.231,4281.282,4286.154,4289.103,4313.077,4286.154,4229.744,4308.59,4029.872,4335.897,4379.359,1682545173.1396046
4236.282,4276.026,4208.846,4252.308,4278.846,4285.769,4285.769,4309.487,4287.564,4230.128,4301.795,4023.077,4337.821,4374.615,1682545173.1396046
