AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1683039050.182568
4081.923,5625.256,4101.667,1524.487,1494.359,5053.077,5047.821,802.821,4663.462,7599.231,803.59,3395.513,3034.103,3224.359,1683039050.1896145
4072.436,5626.538,4090.385,1516.154,1495.128,5050.0,5040.256,802.821,4664.744,7599.231,803.59,3407.692,3043.59,3230.128,1683039050.19056
4056.282,5658.462,4078.333,1494.359,1496.026,5040.0,5035.897,802.821,4666.667,7599.231,803.59,3405.128,3037.692,3218.59,1683039050.19056
4029.615,5656.667,4059.615,1493.974,1494.231,5023.846,5038.205,802.821,4672.821,7599.231,803.59,3395.769,3028.974,3201.667,1683039050.19056
4007.692,5641.41,4039.359,1526.282,1495.385,5020.0,5039.103,802.821,4679.872,7599.231,803.59,3396.667,3043.59,3198.077,1683039050.2244463
3993.974,5683.718,4023.205,1530.385,1500.0,5025.897,5031.538,802.821,4684.103,7599.231,803.59,3391.538,3057.564,3185.256,1683039050.2249415
3972.051,5710.0,4000.513,1496.795,1497.308,5016.538,5023.59,802.821,4685.128,7599.231,803.59,3370.641,3028.846,3155.641,1683039050.225438
3945.385,5696.667,3977.564,1489.872,1493.59,5004.487,5022.179,802.821,4692.436,7599.231,803.59,3357.308,3000.641,3140.641,1683039050.2259355
3924.359,5706.795,3960.769,1508.846,1501.282,5011.154,5019.231,802.821,4702.821,7599.231,803.59,3351.026,3020.385,3135.128,1683039050.2578478
3907.949,5717.692,3942.949,1511.282,1495.513,5005.897,5013.59,802.821,4702.436,7599.231,803.59,3339.744,3015.128,3116.154,1683039050.2578478
3887.564,5724.103,3925.0,1505.0,1480.128,4983.59,5014.744,802.821,4703.205,7599.231,803.59,3335.0,2984.487,3100.128,1683039050.2578478
3867.692,5731.026,3913.59,1497.308,1485.385,4973.718,5013.974,802.821,4715.385,7599.231,803.59,3331.795,2996.282,3094.231,1683039050.2588441
3853.333,5734.359,3901.923,1489.872,1497.051,4965.256,5005.256,802.821,4720.769,7599.231,803.59,3317.051,3014.487,3079.103,1683039050.2878435
3851.026,5752.436,3897.564,1502.436,1495.256,4953.846,5000.0,802.821,4716.282,7599.231,803.59,3319.487,3020.0,3071.026,1683039050.2878435
3863.718,5772.949,3913.077,1498.205,1484.487,4952.949,5002.179,802.821,4722.179,7599.231,803.59,3352.692,3040.128,3095.0,1683039050.2878435
3880.256,5771.154,3934.615,1471.795,1479.744,4951.154,5001.795,802.821,4734.359,7599.231,803.59,3384.231,3062.564,3123.846,1683039050.2888398
3894.744,5787.436,3952.564,1487.692,1483.846,4939.359,4997.051,802.564,4734.872,7599.231,803.59,3408.205,3107.051,3144.231,1683039050.3244867
3911.154,5791.026,3970.513,1507.564,1487.821,4935.256,4993.205,801.795,4732.436,7599.231,803.59,3439.359,3161.538,3171.538,1683039050.3254836
3931.026,5778.333,3994.359,1493.205,1485.385,4940.0,4988.59,801.923,4743.59,7599.231,803.59,3473.846,3156.667,3202.692,1683039050.3254836
3947.949,5816.667,4015.769,1496.154,1478.59,4932.821,4984.359,802.436,4752.564,7599.231,803.59,3500.128,3164.744,3222.692,1683039050.3254836
3962.821,5827.436,4030.128,1504.231,1479.872,4921.795,4984.615,800.513,4749.103,7599.231,803.59,3522.436,3235.128,3240.769,1683039050.3264804
3972.436,5788.974,4041.154,1491.282,1486.538,4923.462,4985.385,803.59,4754.872,7599.231,803.59,3544.615,3271.41,3261.923,1683039050.3274775
3979.359,5817.051,4053.59,1507.821,1490.641,4925.641,4982.821,816.923,4768.718,7599.231,803.59,3564.744,3294.487,3276.923,1683039050.3274775
3983.718,5851.41,4061.667,1529.103,1478.718,4912.051,4975.897,827.821,4767.308,7599.231,803.59,3579.103,3360.769,3287.949,1683039050.328473
3991.282,5838.846,4070.897,1516.795,1465.128,4896.795,4970.513,834.231,4764.231,7599.231,803.59,3600.0,3375.256,3307.051,1683039050.3852806
4002.436,5849.615,4084.487,1505.513,1468.333,4888.205,4969.231,844.231,4777.692,7599.231,803.59,3628.974,3338.333,3327.308,1683039050.3862772
4009.487,5840.513,4096.538,1498.974,1471.923,4878.846,4969.487,852.308,4785.256,7599.231,803.59,3650.769,3369.744,3344.615,1683039050.3862772
4009.615,5826.41,4100.0,1505.641,1471.538,4873.59,4967.564,859.872,4780.513,7599.231,803.59,3661.41,3416.667,3355.769,1683039050.3872738
4003.077,5882.436,4095.897,1527.821,1469.615,4868.718,4964.744,875.769,4788.205,7599.231,803.59,3668.333,3414.487,3359.872,1683039050.4154408
3992.564,5904.487,4087.564,1521.923,1465.769,4863.077,4960.513,889.615,4801.923,7599.231,803.59,3670.897,3441.026,3358.333,1683039050.416448
3981.026,5869.744,4080.0,1506.41,1460.897,4856.923,4954.744,894.872,4800.256,7599.231,803.59,3664.744,3486.923,3350.641,1683039050.4170897
3973.846,5888.718,4076.026,1516.538,1461.282,4846.282,4951.667,899.103,4798.077,7599.231,803.59,3658.077,3484.359,3343.59,1683039050.417587
3971.026,5923.59,4075.0,1522.051,1475.128,4849.487,4952.436,915.128,4810.769,7599.231,803.59,3667.179,3483.974,3351.667,1683039050.4456565
3970.128,5915.897,4078.462,1522.949,1483.59,4860.128,4951.795,934.231,4817.179,7599.231,803.59,3686.41,3531.923,3366.538,1683039050.4462414
3967.308,5930.0,4079.744,1529.615,1478.718,4848.205,4948.462,939.487,4812.821,7599.231,803.59,3692.308,3572.308,3367.949,1683039050.446735
3963.718,5953.846,4078.462,1518.077,1472.436,4839.615,4943.205,939.487,4819.615,7599.231,803.59,3686.538,3587.821,3363.077,1683039050.446735
3954.744,5946.923,4068.205,1518.718,1470.769,4860.769,4938.205,949.744,4832.308,7599.231,803.59,3685.769,3602.949,3358.462,1683039050.4756753
3940.256,5952.692,4056.154,1538.077,1471.795,4868.205,4936.41,960.641,4832.051,7599.231,803.59,3689.487,3619.359,3353.333,1683039050.4756753
3929.615,5983.205,4051.923,1546.923,1482.436,4861.538,4936.538,965.128,4830.897,7599.231,803.59,3687.692,3651.923,3350.128,1683039050.4766724
