AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1683483505.5436482
4256.795,4279.744,4230.641,4265.513,4290.513,4291.923,4281.667,4548.718,4423.846,4393.718,4388.205,5473.718,4255.641,4180.256,1683483505.562585
4257.821,4284.231,4233.846,4265.897,4286.41,4289.487,4279.359,4547.821,4424.615,4399.744,4387.692,5474.872,4253.333,4179.744,1683483505.562585
4256.667,4281.795,4233.333,4268.846,4289.744,4283.718,4277.179,4550.385,4427.179,4394.872,4388.462,5472.949,4254.872,4180.385,1683483505.562585
4254.487,4276.923,4231.41,4266.41,4294.231,4286.154,4277.436,4549.487,4423.718,4387.692,4388.333,5472.051,4257.949,4180.897,1683483505.562585
4254.872,4278.974,4231.282,4264.872,4290.897,4291.154,4279.359,4550.256,4421.41,4393.333,4387.949,5472.692,4256.923,4181.538,1683483505.591487
4255.385,4277.564,4230.256,4267.436,4289.359,4287.436,4279.615,4554.872,4421.795,4399.872,4387.436,5472.436,4253.462,4180.128,1683483505.591487
4256.282,4273.974,4231.026,4267.949,4293.718,4287.179,4279.487,4550.513,4421.667,4395.897,4386.923,5472.308,4254.103,4178.846,1683483505.5924847
4256.795,4276.538,4232.308,4265.641,4293.077,4293.974,4281.538,4543.846,4425.128,4392.436,4387.179,5472.949,4257.436,4179.359,1683483505.5924847
4255.513,4278.333,4232.564,4267.564,4289.231,4292.821,4283.077,4548.205,4426.41,4394.615,4387.436,5473.846,4257.692,4179.231,1683483505.6293602
4255.897,4276.923,4231.538,4269.103,4288.205,4289.103,4281.667,4555.641,4422.179,4393.59,4387.692,5473.974,4256.538,4179.359,1683483505.6293602
4255.641,4277.051,4230.256,4265.897,4290.0,4288.462,4280.385,4553.462,4422.436,4393.333,4387.564,5473.077,4257.308,4180.128,1683483505.6293602
4254.103,4278.077,4230.385,4266.026,4290.385,4283.846,4278.846,4545.128,4425.513,4395.513,4388.077,5473.205,4258.077,4179.744,1683483505.6293602
4255.897,4277.179,4231.795,4268.718,4287.308,4285.513,4277.564,4546.538,4424.359,4394.359,4389.359,5473.718,4255.897,4180.385,1683483505.6602566
4258.846,4280.256,4231.41,4266.538,4289.231,4293.462,4279.487,4551.026,4423.718,4393.333,4389.359,5472.308,4254.744,4181.667,1683483505.6602566
4257.308,4281.41,4230.128,4263.718,4293.333,4290.0,4281.154,4548.974,4423.974,4396.795,4387.692,5471.923,4255.256,4179.487,1683483505.6602566
4257.436,4280.385,4230.769,4265.897,4296.538,4283.333,4279.487,4548.205,4422.308,4396.026,4388.077,5473.077,4256.795,4181.667,1683483505.6602566
4257.949,4280.0,4232.436,4268.077,4296.667,4287.436,4278.718,4551.41,4422.308,4391.41,4389.872,5473.205,4257.179,4184.615,1683483505.6821835
4255.769,4281.667,4231.154,4266.667,4286.282,4289.103,4280.256,4551.923,4423.077,4394.744,4389.359,5474.103,4256.154,4181.795,1683483505.6821835
4255.897,4285.0,4226.538,4265.385,4279.744,4287.308,4280.256,4550.897,4423.846,4399.744,4387.949,5474.359,4256.154,4179.231,1683483505.6821835
4257.821,4283.205,4226.795,4266.282,4289.615,4293.333,4279.103,4552.308,4422.564,4397.692,4388.462,5471.41,4257.949,4179.487,1683483505.6821835
4257.692,4276.923,4232.051,4267.949,4294.744,4295.0,4278.59,4552.179,4423.205,4392.564,4388.59,5470.897,4257.564,4178.59,1683483505.720056
4257.564,4275.0,4232.821,4268.205,4288.59,4290.128,4277.179,4552.692,4425.385,4393.59,4388.333,5473.333,4255.641,4178.718,1683483505.720056
4256.667,4279.744,4229.744,4269.103,4291.538,4292.564,4276.795,4552.308,4422.051,4398.974,4388.462,5473.59,4255.897,4178.462,1683483505.720056
4254.487,4280.641,4230.385,4268.205,4290.769,4292.308,4279.103,4551.41,4420.897,4397.051,4388.462,5474.359,4256.538,4177.821,1683483505.720056
4256.026,4276.667,4232.564,4265.0,4279.615,4285.385,4278.974,4552.436,4423.205,4392.821,4388.333,5474.103,4256.41,4179.103,1683483505.749957
4257.308,4276.41,4231.667,4266.026,4284.744,4287.051,4278.462,4552.436,4422.051,4393.846,4388.59,5471.795,4255.385,4179.872,1683483505.749957
4255.385,4282.564,4230.897,4269.744,4297.308,4291.026,4281.538,4550.897,4421.154,4395.641,4388.59,5471.41,4254.872,4178.462,1683483505.749957
4254.359,4283.846,4231.154,4268.59,4290.641,4287.308,4282.436,4550.641,4423.718,4394.231,4387.564,5472.692,4256.41,4178.718,1683483505.749957
4257.051,4278.077,4232.179,4265.641,4282.821,4284.615,4279.487,4550.256,4424.615,4391.41,4387.308,5472.821,4257.179,4179.744,1683483505.779856
4258.974,4276.923,4233.077,4266.41,4289.103,4285.897,4278.846,4550.0,4424.615,4391.154,4388.077,5472.051,4255.641,4178.718,1683483505.779856
4257.308,4279.487,4231.923,4267.051,4289.744,4284.615,4280.513,4549.744,4424.103,4394.615,4387.949,5471.282,4257.051,4179.359,1683483505.779856
4255.128,4276.538,4231.41,4265.769,4285.0,4286.667,4280.769,4550.385,4420.897,4396.667,4387.436,5471.667,4256.538,4180.256,1683483505.779856
4255.641,4274.615,4229.359,4265.385,4291.026,4293.077,4281.282,4551.41,4420.769,4396.41,4387.051,5472.821,4254.231,4180.513,1683483505.8117495
4256.026,4276.795,4227.179,4266.538,4295.128,4290.641,4281.282,4550.769,4423.974,4396.667,4387.564,5472.308,4255.385,4179.744,1683483505.8117495
4256.538,4278.462,4228.462,4265.385,4287.949,4287.308,4280.513,4551.154,4425.128,4397.692,4389.103,5472.308,4256.41,4178.846,1683483505.8117495
4256.41,4277.821,4228.846,4265.513,4285.0,4289.615,4279.359,4552.179,4424.872,4396.154,4389.487,5472.821,4255.128,4178.59,1683483505.8117495
4256.923,4279.487,4227.821,4268.974,4293.077,4291.795,4279.359,4551.795,4422.564,4395.256,4387.821,5471.154,4255.0,4179.744,1683483505.8476305
4257.949,4283.718,4228.846,4269.103,4295.128,4291.538,4280.769,4551.538,4422.051,4395.0,4387.436,5470.513,4256.41,4182.308,1683483505.8476305
4256.026,4282.436,4232.051,4272.821,4286.923,4286.154,4280.769,4551.282,4422.436,4397.179,4387.564,5473.333,4257.692,4181.667,1683483505.8476305
4253.974,4275.769,4232.564,4275.641,4284.744,4279.872,4278.846,4550.641,4422.692,4399.231,4387.821,5473.974,4258.59,4178.718,1683483505.8476305
4257.308,4274.615,4231.667,4269.231,4289.103,4281.282,4279.359,4549.744,4424.487,4397.051,4388.205,5471.41,4257.564,4179.487,1683483505.8775318
4259.744,4280.513,4232.308,4265.641,4287.436,4287.821,4281.667,4550.128,4423.974,4396.282,4386.667,5471.154,4257.436,4180.769,1683483505.8775318
4255.769,4280.513,4232.308,4269.103,4286.154,4288.462,4281.923,4549.487,4420.385,4396.538,4385.897,5473.59,4256.795,4179.359,1683483505.8775318
4256.41,4279.103,4232.564,4267.692,4293.462,4287.436,4280.769,4550.256,4420.513,4393.333,4388.333,5473.205,4256.154,4178.846,1683483505.8775318
4258.846,4281.154,4231.538,4264.103,4295.385,4285.897,4280.513,4550.641,4423.333,4389.231,4388.846,5470.769,4256.667,4178.974,1683483505.9074314
4257.821,4280.897,4232.436,4266.538,4292.436,4285.128,4281.667,4550.0,4422.308,4388.333,4386.667,5470.0,4256.026,4178.333,1683483505.9074314
4256.154,4278.718,4233.333,4265.641,4292.564,4288.077,4282.179,4550.385,4421.154,4392.308,4387.821,5472.692,4254.231,4179.359,1683483505.9074314
4255.0,4278.974,4232.692,4265.641,4288.077,4288.462,4281.154,4548.59,4421.538,4396.795,4389.615,5474.231,4256.41,4181.154,1683483505.9074314
4255.641,4278.205,4231.923,4267.949,4285.256,4285.385,4281.795,4548.462,4420.641,4397.051,4388.462,5472.051,4258.718,4179.359,1683483505.9373293
4257.564,4275.256,4231.923,4265.769,4292.051,4283.846,4282.308,4547.692,4419.487,4394.615,4387.564,5471.154,4257.821,4178.59,1683483505.9373293
4256.154,4275.128,4232.821,4266.41,4294.744,4288.846,4280.385,4546.667,4424.615,4395.0,4388.718,5473.846,4256.41,4178.974,1683483505.9383261
4255.513,4279.872,4232.949,4267.949,4289.744,4289.487,4279.872,4548.718,4427.308,4397.308,4387.692,5474.872,4256.667,4179.872,1683483505.9383261
4257.949,4284.231,4231.41,4266.154,4287.436,4284.231,4281.667,4551.795,4423.718,4397.436,4386.026,5472.051,4257.051,4181.154,1683483505.9752102
4257.564,4281.026,4230.513,4267.051,4291.154,4288.077,4281.795,4551.026,4423.333,4397.949,4386.282,5471.795,4256.795,4180.128,1683483505.9752102
4255.0,4276.538,4231.026,4268.718,4293.077,4291.667,4280.256,4548.077,4422.564,4397.308,4385.385,5473.205,4256.282,4181.795,1683483505.9752102
4257.179,4277.949,4232.051,4266.41,4292.179,4288.59,4279.615,4550.256,4420.385,4395.897,4386.538,5472.564,4254.487,4185.897,1683483505.9752102
4259.231,4278.077,4231.923,4264.872,4290.256,4288.846,4280.897,4552.692,4419.103,4396.795,4389.615,5472.051,4256.154,4182.821,1683483505.99713
4255.0,4275.897,4231.026,4268.846,4286.538,4289.103,4282.692,4552.051,4418.462,4397.179,4388.974,5473.846,4258.205,4176.923,1683483505.99713
4252.564,4278.077,4231.538,4269.615,4285.513,4287.949,4281.026,4547.564,4421.538,4396.282,4386.667,5474.359,4255.897,4179.615,1683483505.99713
4256.282,4278.077,4232.179,4267.308,4288.333,4290.256,4278.462,4548.462,4426.282,4396.538,4387.692,5472.308,4254.231,4183.846,1683483505.99713
